observation_id,recommendation_class_id,class_name,status,confidence,shown_at_utc,responded_at_utc,completed_at_utc,pre_productive_mins_30m,post_productive_mins_30m,productive_change_mins_30m,pre_distraction_mins_30m,post_distraction_mins_30m,distraction_change_mins_30m,post_24h_focus_sessions,post_24h_tasks_completed,baseline_productivity_profile,baseline_focus_profile
REC_OBS_013,0,"Continue Current Skill",completed,0.29,"2026-08-13T15:30:05.028Z","2026-08-13T15:57:55.303Z","2026-08-13T15:57:55.465Z",0.00,20.00,20.00,0.00,0.00,0.00,11,0,"Low Productivity","High Focus"
REC_OBS_014,0,"Continue Current Skill",shown,0.28,"2026-08-13T15:33:18.193Z","","",0.00,0.00,0.00,0.00,0.00,0.00,0,0,"Low Productivity","High Focus"
REC_OBS_015,0,"Continue Current Skill",shown,0.28,"2026-08-13T15:34:24.071Z","","",0.00,0.00,0.00,0.00,0.00,0.00,0,0,"Low Productivity","High Focus"
REC_OBS_016,0,"Continue Current Skill",shown,0.28,"2026-08-13T15:39:41.339Z","","",0.00,0.00,0.00,0.00,0.00,0.00,0,0,"Low Productivity","High Focus"
REC_OBS_017,0,"Continue Current Skill",shown,0.28,"2026-08-13T15:44:46.710Z","","",0.00,0.00,0.00,0.00,0.00,0.00,0,0,"Low Productivity","High Focus"
REC_OBS_018,0,"Continue Current Skill",shown,0.28,"2026-08-13T15:49:06.377Z","","",0.00,0.00,0.00,0.00,0.00,0.00,0,0,"Low Productivity","High Focus"
REC_OBS_019,0,"Continue Current Skill",shown,0.28,"2026-08-13T15:49:15.545Z","","",0.00,0.00,0.00,0.00,0.00,0.00,0,0,"Low Productivity","High Focus"
REC_OBS_020,0,"Continue Current Skill",shown,0.28,"2026-08-13T15:53:22.100Z","","",0.00,0.00,0.00,0.00,0.00,0.00,0,0,"Low Productivity","High Focus"
REC_OBS_021,5,"Watch Learning Video",ignored,0.23,"2026-08-13T15:53:24.313Z","","",15.00,15.00,0.00,0.00,0.00,0.00,10,0,"High Productivity","High Focus"
REC_OBS_022,3,"Practice Coding",ignored,0.34,"2026-08-13T15:54:30.398Z","","",1.57,0.42,-1.15,0.45,0.00,-0.45,0,0,"Medium Productivity","High Focus"
REC_OBS_023,0,"Continue Current Skill",shown,0.28,"2026-08-13T15:57:51.088Z","","",0.00,0.00,0.00,0.00,0.00,0.00,0,0,"Low Productivity","High Focus"
REC_OBS_024,0,"Continue Current Skill",shown,0.28,"2026-08-13T16:00:54.305Z","","",0.00,0.00,0.00,0.00,0.00,0.00,0,0,"Low Productivity","High Focus"
REC_OBS_025,1,"Start Focus Session",completed,0.88,"2026-08-13T16:00:54.627Z","2026-08-13T16:29:34.973Z","2026-08-13T16:29:35.141Z",20.00,20.00,0.00,0.00,0.00,0.00,8,0,"High Productivity","High Focus"
REC_OBS_026,0,"Continue Current Skill",completed,0.26,"2026-08-13T16:00:56.227Z","2026-08-13T16:00:58.749Z","2026-08-13T16:00:58.913Z",20.00,20.00,0.00,0.00,0.00,0.00,8,0,"High Productivity","High Focus"
REC_OBS_027,2,"Take Short Break",shown,0.32,"2026-08-13T16:01:00.933Z","","",20.00,20.00,0.00,0.00,0.00,0.00,7,0,"High Productivity","High Focus"
REC_OBS_028,2,"Take Short Break",shown,0.32,"2026-08-13T16:01:00.935Z","","",20.00,20.00,0.00,0.00,0.00,0.00,7,0,"High Productivity","High Focus"
REC_OBS_029,2,"Take Short Break",completed,0.32,"2026-08-13T16:01:00.937Z","2026-08-13T16:29:39.671Z","2026-08-13T16:29:39.839Z",20.00,20.00,0.00,0.00,0.00,0.00,7,0,"High Productivity","High Focus"
REC_OBS_030,0,"Continue Current Skill",shown,0.28,"2026-08-13T16:19:28.670Z","","",0.00,0.00,0.00,0.00,0.00,0.00,0,0,"Low Productivity","High Focus"
REC_OBS_031,0,"Continue Current Skill",shown,0.28,"2026-08-13T16:19:35.446Z","","",0.00,0.00,0.00,0.00,0.00,0.00,0,0,"Low Productivity","High Focus"
REC_OBS_032,0,"Continue Current Skill",shown,0.28,"2026-08-13T16:24:21.829Z","","",0.00,0.00,0.00,0.00,0.00,0.00,0,0,"Low Productivity","High Focus"
REC_OBS_033,3,"Practice Coding",shown,0.34,"2026-08-13T16:27:08.485Z","","",1.00,6.08,5.08,0.00,0.98,0.98,0,0,"Medium Productivity","High Focus"
REC_OBS_034,0,"Continue Current Skill",shown,0.28,"2026-08-13T16:29:34.168Z","","",0.00,0.00,0.00,0.00,0.00,0.00,0,0,"Low Productivity","High Focus"
