Class,Class Name,Feature,Mean,Median,Std,Min,Max
4,Revision,coding_hours,1.4122,1.33,0.7229,0.0,4.35
4,Revision,reading_hours,1.3033,1.24,0.6629,0.0,4.21
4,Revision,revision_hours,1.2519,1.23,0.5257,0.0,3.17
4,Revision,quiz_score,43.1658,43.57,13.71,0.0,86.18
4,Revision,productive_minutes,233.7663,233.555,69.2843,15.0,515.42
4,Revision,distraction_minutes,153.815,153.875,38.5396,13.41,295.91
4,Revision,idle_minutes,101.7843,101.985,26.1826,6.34,189.56
4,Revision,sleep_hours,7.0875,7.06,1.1623,3.0,10.0
4,Revision,skill_progress,37.3467,36.6,13.3427,4.29,88.06
4,Revision,deadline_completion_rate,59.3675,59.37,12.4191,16.76,100.0
4,Revision,focus_sessions,4.2249,4.0,1.5868,1.0,10.0
4,Revision,average_session_minutes,59.5736,55.915,19.4035,5.0,120.0
5,Watch Learning Video,productivity_score,47.212,47.075,13.269,6.22,88.83
5,Watch Learning Video,focus_score,50.3125,50.35,10.5987,15.18,86.89
5,Watch Learning Video,study_hours,4.0496,4.03,1.4379,0.5,9.5
5,Watch Learning Video,xp,14446.2377,14246.5,5200.0264,100.0,35551.0
5,Watch Learning Video,level,14.9443,15.0,5.2093,1.0,36.0
5,Watch Learning Video,streak_days,30.8012,30.0,11.0811,2.0,80.0
5,Watch Learning Video,completed_tasks,8.6402,9.0,3.8164,0.0,22.0
5,Watch Learning Video,pending_tasks,16.8456,17.0,4.019,1.0,30.0
5,Watch Learning Video,coding_hours,1.0308,0.96,0.6093,0.0,3.84
5,Watch Learning Video,reading_hours,1.0169,0.96,0.5936,0.0,3.7
5,Watch Learning Video,revision_hours,0.7664,0.73,0.4485,0.0,2.74
5,Watch Learning Video,quiz_score,47.1434,47.165,13.5427,2.18,97.37
5,Watch Learning Video,productive_minutes,182.042,181.805,66.8929,15.0,426.13
5,Watch Learning Video,distraction_minutes,154.0353,154.59,38.334,17.21,299.3
5,Watch Learning Video,idle_minutes,106.9527,107.29,26.1997,0.05,200.9
5,Watch Learning Video,sleep_hours,7.0746,7.07,1.1727,3.0,10.0
5,Watch Learning Video,skill_progress,33.7389,33.065,11.8421,0.0,84.51
5,Watch Learning Video,deadline_completion_rate,56.1926,55.935,12.2959,14.08,100.0
5,Watch Learning Video,focus_sessions,3.3044,3.0,1.5018,1.0,9.0
5,Watch Learning Video,average_session_minutes,60.6781,55.9,23.1367,5.0,120.0
6,Complete Pending Tasks,productivity_score,37.6349,37.35,10.8012,4.41,85.52
6,Complete Pending Tasks,focus_score,45.328,45.33,9.6434,10.15,78.85
6,Complete Pending Tasks,study_hours,3.3555,3.32,1.2305,0.5,7.66
6,Complete Pending Tasks,xp,23204.5013,23370.5,6619.2865,1522.0,43129.0
6,Complete Pending Tasks,level,23.7113,24.0,6.62,2.0,44.0
6,Complete Pending Tasks,streak_days,23.1085,23.0,9.1594,2.0,67.0
6,Complete Pending Tasks,completed_tasks,5.8069,6.0,3.1325,0.0,18.0
6,Complete Pending Tasks,pending_tasks,20.4427,20.0,3.439,9.0,30.0
6,Complete Pending Tasks,coding_hours,0.9736,0.91,0.5828,0.0,3.71
6,Complete Pending Tasks,reading_hours,0.8491,0.79,0.5203,0.0,3.15
6,Complete Pending Tasks,revision_hours,0.6586,0.635,0.4055,0.0,2.26
6,Complete Pending Tasks,quiz_score,37.9042,37.76,11.9536,0.0,85.09
6,Complete Pending Tasks,productive_minutes,151.4586,150.21,57.9886,15.0,360.23
6,Complete Pending Tasks,distraction_minutes,166.5513,166.76,36.4796,28.87,291.51
6,Complete Pending Tasks,idle_minutes,119.9134,119.855,23.5973,31.14,200.84
6,Complete Pending Tasks,sleep_hours,7.0527,7.06,1.1585,3.0,10.0
6,Complete Pending Tasks,skill_progress,55.6033,56.11,14.8248,7.22,99.15
6,Complete Pending Tasks,deadline_completion_rate,45.1096,45.05,10.2045,7.85,80.55
6,Complete Pending Tasks,focus_sessions,2.7267,3.0,1.3286,1.0,8.0
6,Complete Pending Tasks,average_session_minutes,62.3494,57.25,25.8165,5.0,120.0
7,Attempt Quiz,productivity_score,63.9309,64.2,11.8983,21.5,100.0
7,Attempt Quiz,focus_score,59.9444,59.95,10.0333,23.07,97.09
7,Attempt Quiz,study_hours,6.2451,6.27,1.3816,1.57,11.17
7,Attempt Quiz,xp,27660.9323,27980.0,6309.3131,5984.0,49574.0
7,Attempt Quiz,level,28.1672,28.0,6.3163,6.0,50.0
7,Attempt Quiz,streak_days,44.4196,44.0,10.0789,10.0,99.0
7,Attempt Quiz,completed_tasks,13.1731,13.0,3.511,0.0,26.0
7,Attempt Quiz,pending_tasks,13.3227,13.0,3.7744,0.0,28.0
7,Attempt Quiz,coding_hours,1.82,1.73,0.8786,0.0,5.16
7,Attempt Quiz,reading_hours,1.5537,1.49,0.7186,0.0,4.47
7,Attempt Quiz,revision_hours,1.393,1.37,0.5468,0.0,3.41
7,Attempt Quiz,quiz_score,64.292,64.2,12.0701,20.33,100.0
7,Attempt Quiz,productive_minutes,280.2488,281.23,64.963,42.63,510.19
7,Attempt Quiz,distraction_minutes,128.8779,129.13,37.8495,0.0,278.98
7,Attempt Quiz,idle_minutes,84.1857,83.95,24.8353,0.0,176.99
7,Attempt Quiz,sleep_hours,7.1566,7.15,1.143,3.0,10.0
7,Attempt Quiz,skill_progress,59.7291,60.31,14.4907,8.92,98.17
7,Attempt Quiz,deadline_completion_rate,71.3947,71.3,11.3068,31.74,100.0
7,Attempt Quiz,focus_sessions,5.0929,5.0,1.5078,1.0,11.0
7,Attempt Quiz,average_session_minutes,57.4816,55.3,15.039,15.88,120.0
