study_hours_per_day,focus_session_minutes,productive_minutes,distraction_minutes,idle_time_minutes,completed_tasks,pending_tasks,deadline_completion_rate,coding_hours,reading_hours,revision_hours,quiz_score,practice_questions,sleep_hours,break_frequency,focus_score,xp_earned,current_level,streak_days,skills_completed,productivity_score
8.45,230.3,433.3,42.6,80.2,10,0,83.54,2.91,2.03,2.01,96.15,78,8.58,5,90.24,17578,35,319,32,90.49
6.41,229.1,308.0,113.5,32.2,8,10,76.38,3.31,1.69,1.44,77.0,60,8.6,3,68.32,16646,31,253,26,79.12
2.28,39.6,74.5,233.3,87.3,3,9,66.32,1.49,0.44,0.82,51.54,30,7.26,5,35.1,5811,16,83,15,41.69
7.41,232.1,394.1,129.7,59.0,9,5,73.77,2.41,2.55,2.08,75.73,49,8.03,6,76.45,14136,32,206,25,75.06
6.85,214.3,355.9,163.7,88.9,11,7,62.0,3.56,2.06,1.99,92.04,63,6.68,4,79.03,18043,32,241,32,81.43
4.3,121.0,239.1,188.2,119.5,6,10,48.81,1.23,0.51,1.12,60.94,31,6.1,6,51.03,7992,16,100,20,47.49
2.69,57.2,140.6,182.7,94.9,6,12,61.25,0.92,0.77,0.77,75.65,34,6.14,6,47.59,6908,12,124,19,47.94
7.23,227.6,344.6,114.5,81.8,10,8,69.26,2.23,2.18,1.85,72.79,69,7.9,2,83.07,15632,39,247,36,79.33
3.42,77.1,164.5,163.8,139.2,7,8,64.75,1.43,2.01,1.43,55.98,33,5.68,5,56.83,9970,19,97,19,47.75
4.54,104.3,227.6,126.0,48.5,7,6,63.17,0.51,1.87,0.63,72.48,59,6.17,5,68.72,12470,34,219,30,68.01
7.51,233.4,391.9,118.4,81.3,9,8,74.73,2.68,2.84,2.07,76.71,58,6.5,2,75.22,13688,32,238,25,85.17
4.3,136.6,257.9,237.9,138.7,5,12,43.54,1.65,1.75,1.39,56.29,33,8.65,8,46.14,7580,22,132,21,29.15
5.03,166.9,299.9,147.9,76.8,10,7,73.61,1.79,1.54,1.19,74.72,50,8.65,5,72.12,14170,27,145,23,74.16
7.72,242.7,361.3,78.1,54.3,8,2,70.85,3.05,2.28,1.95,78.21,65,7.21,2,82.54,19829,36,245,36,89.02
6.0,146.8,279.1,82.5,89.5,9,7,63.59,2.05,2.06,0.67,80.75,59,7.39,4,73.24,16892,34,193,31,74.7
5.12,135.4,213.8,177.9,8.0,6,7,62.53,1.41,1.41,1.66,67.44,46,7.17,6,67.59,12512,30,194,30,64.61
4.38,127.6,206.9,167.9,33.1,8,11,68.97,1.83,1.0,1.03,72.42,53,8.21,5,63.29,11762,29,187,31,63.43
0.52,11.6,12.4,243.9,145.7,3,16,32.43,0.39,0.34,0.37,44.59,0,8.86,9,28.03,0,5,26,6,0.0
7.84,221.3,361.6,168.4,47.8,9,8,61.64,3.78,2.46,1.48,85.64,62,6.22,3,71.57,14689,32,266,29,79.57
5.69,192.2,295.3,147.0,50.2,10,5,65.35,2.04,2.11,1.37,73.53,57,7.47,3,77.31,16477,34,227,30,74.08
5.02,143.7,259.3,97.9,64.1,6,8,68.38,2.5,1.75,1.35,69.16,44,8.92,4,68.81,11691,28,251,23,61.38
6.09,206.7,320.3,170.0,89.5,6,9,50.39,2.1,1.9,1.7,64.37,35,8.23,4,57.28,12749,18,168,23,67.84
4.76,178.4,234.4,247.8,119.4,5,5,66.69,2.77,1.45,1.06,61.82,31,7.61,5,56.87,12886,28,153,24,44.59
4.45,151.4,213.6,196.4,125.3,5,8,61.14,1.28,0.78,1.62,55.87,34,5.93,4,64.51,12205,25,155,19,57.55
4.6,117.5,274.5,137.0,79.8,7,9,62.45,1.38,1.62,1.42,62.98,55,6.91,3,63.22,12886,25,212,32,62.41
3.32,149.8,230.8,220.4,128.2,4,10,56.47,0.66,0.62,0.69,68.13,21,8.44,4,48.22,9962,19,135,18,43.19
5.16,158.9,263.7,128.3,100.7,9,5,83.12,1.44,2.32,0.78,84.75,63,7.77,4,78.84,15662,36,232,31,79.75
2.87,95.3,139.2,297.5,123.1,5,14,62.11,1.52,1.2,1.14,64.27,22,8.13,6,44.49,7213,10,133,14,37.91
4.16,143.8,216.5,205.8,98.5,8,16,59.23,0.91,0.89,1.18,62.76,47,8.94,5,54.96,8629,17,109,20,53.44
6.08,175.3,310.0,178.6,65.1,4,8,54.77,2.07,2.38,1.55,63.6,40,7.46,4,60.15,12343,29,196,22,60.1
2.88,67.6,117.5,209.2,107.6,8,15,44.14,0.81,1.08,0.93,52.16,32,6.25,7,48.43,4602,12,44,8,36.05
5.15,167.0,280.5,148.2,81.3,8,6,67.24,1.98,1.23,1.57,74.85,34,8.51,4,64.09,11283,28,170,22,60.43
4.62,126.4,185.7,157.1,118.0,5,11,42.62,1.31,0.66,1.15,61.94,36,8.7,5,49.81,7551,14,84,13,39.81
6.14,241.6,350.3,206.8,20.1,11,5,80.0,2.11,1.81,1.45,89.35,50,4.72,3,73.3,18585,36,280,33,75.58
7.26,230.1,359.5,145.6,72.7,8,9,86.09,2.34,2.45,1.94,78.51,51,6.43,3,74.98,17238,31,306,33,79.68
2.9,83.7,143.0,236.3,126.4,10,11,49.1,1.06,0.69,0.53,58.74,35,8.32,5,33.7,7211,17,145,11,39.92
4.16,155.8,247.9,76.9,101.6,7,8,59.74,2.0,1.41,1.33,59.86,41,7.23,6,61.7,11296,28,215,24,51.11
5.86,169.2,350.4,128.2,34.7,9,8,68.61,2.78,1.83,1.28,68.74,53,8.14,3,73.95,17122,29,229,33,79.61
3.8,119.7,163.9,174.0,147.3,6,13,54.32,0.98,1.56,1.47,57.5,22,8.98,5,44.65,6178,13,111,14,48.96
3.25,70.6,122.4,208.5,97.3,5,13,52.41,2.04,0.23,1.19,51.52,33,6.69,6,49.73,6157,17,81,15,34.47
6.52,215.2,369.5,91.9,48.6,8,9,79.65,2.79,2.46,1.42,93.21,69,7.37,2,70.62,16382,36,256,33,76.58
5.14,167.9,274.9,237.1,82.1,9,9,79.02,2.47,1.81,1.21,75.79,41,6.49,6,69.59,14395,26,199,29,58.07
7.22,235.9,373.5,116.7,18.0,10,9,71.84,3.05,1.97,1.95,69.57,52,6.98,2,75.97,15865,35,231,32,80.04
5.01,134.6,242.7,209.1,100.3,5,7,49.66,2.25,1.3,0.83,76.26,44,8.81,6,68.69,12277,30,218,22,59.94
5.66,184.9,295.5,138.2,90.7,9,8,73.97,2.03,2.15,1.27,80.24,46,7.34,5,73.5,14720,29,184,34,71.97
7.88,199.7,368.5,87.4,19.9,12,4,79.98,2.69,1.84,2.3,87.51,80,7.66,4,89.61,17855,42,251,37,93.38
4.12,85.1,182.6,236.1,142.4,6,10,37.62,1.49,1.94,0.87,58.77,31,5.91,7,53.03,7832,16,133,21,32.46
3.58,126.8,177.7,221.0,96.8,6,14,32.03,1.45,1.28,0.72,51.05,38,7.89,4,49.85,10480,18,74,12,42.93
4.79,184.2,291.7,197.3,144.4,6,14,41.37,1.9,1.86,1.41,63.39,18,7.02,7,47.46,6370,14,124,14,38.77
8.29,300.0,436.2,67.1,46.8,12,5,82.23,2.53,1.83,2.07,95.23,87,7.55,2,88.33,21079,42,231,41,96.94
5.1,127.0,220.7,148.1,108.8,10,11,59.81,2.79,1.31,0.94,74.02,44,6.72,4,65.72,12336,28,205,26,59.07
5.88,189.6,312.5,128.6,40.0,10,7,73.32,2.25,1.27,1.78,71.78,71,7.42,1,79.64,16591,35,277,26,76.17
7.0,214.9,345.3,123.1,96.0,10,11,73.9,2.65,2.06,2.1,80.38,55,7.82,5,78.4,14740,29,150,28,78.0
5.26,121.0,227.8,200.0,94.5,9,8,66.1,2.47,2.29,1.37,72.94,46,6.94,6,62.29,13543,24,173,27,52.05
8.41,260.2,416.9,88.1,86.1,11,7,78.4,2.88,1.43,2.67,88.73,75,5.99,2,85.43,22135,41,224,37,83.13
3.66,148.7,207.4,117.3,77.9,8,10,59.69,1.54,0.47,0.78,56.86,50,4.74,5,50.81,13704,21,143,21,54.22
6.89,234.0,339.6,60.6,71.3,6,9,75.54,2.29,1.92,1.6,69.65,55,7.2,4,75.88,15633,30,216,33,80.99
5.74,195.1,294.0,153.9,75.2,9,10,49.83,3.21,1.96,1.61,76.68,69,7.81,4,58.89,14010,27,207,25,69.28
5.76,211.9,315.7,96.6,86.6,7,8,85.27,2.14,2.09,1.56,62.81,53,7.08,2,62.11,13458,27,179,24,77.48
5.16,115.4,187.9,85.1,129.5,6,7,78.34,2.03,1.51,1.38,86.04,46,9.58,3,62.44,14313,28,159,27,59.59
1.78,82.1,102.4,226.1,89.6,5,12,34.4,0.76,0.33,0.26,49.5,24,7.25,7,38.68,5631,14,149,13,34.57
4.58,96.5,222.9,158.5,96.3,10,11,58.81,1.8,1.6,1.1,66.46,47,6.73,2,67.09,13513,30,218,23,64.47
3.62,85.5,148.8,252.0,146.8,5,12,42.95,1.88,0.85,1.31,51.54,36,6.85,4,51.43,5519,15,152,21,38.52
7.27,204.8,359.4,143.6,61.2,10,6,72.26,3.52,3.21,1.91,71.34,57,6.9,3,75.57,14392,31,207,37,78.05
4.39,129.7,245.5,204.1,99.7,9,15,68.65,2.13,1.6,0.87,64.96,40,5.21,5,58.7,10295,16,114,18,47.57
3.11,88.8,120.2,193.3,140.9,4,11,53.47,1.48,1.06,1.0,61.83,37,7.33,7,46.19,8352,14,83,13,38.83
5.92,228.2,330.4,131.4,60.3,9,7,62.98,2.24,1.62,1.25,88.82,58,6.95,3,72.2,16456,29,252,27,77.41
7.83,237.6,394.5,46.7,67.4,10,8,79.0,2.94,1.86,2.13,90.62,82,7.89,0,92.93,22793,42,277,43,85.91
4.07,134.2,251.7,195.5,92.6,6,10,62.14,1.85,0.65,1.21,63.29,20,6.05,6,53.89,10674,20,93,23,58.56
6.96,206.0,342.6,97.1,86.4,6,12,59.85,3.38,2.13,1.74,71.7,48,8.3,2,67.7,11601,28,151,29,69.9
3.3,84.7,174.9,143.3,118.4,7,12,54.67,1.72,0.97,0.84,69.55,34,6.54,5,49.56,7273,21,148,17,47.65
8.5,212.1,406.6,105.2,113.5,8,4,62.58,3.46,2.57,1.98,89.84,65,5.7,4,74.02,15969,32,270,28,78.02
7.39,221.5,364.3,150.7,51.0,9,7,91.05,3.1,2.39,1.8,82.86,66,7.49,4,75.85,20364,40,320,37,82.47
3.18,55.0,117.4,198.0,143.3,2,13,35.97,0.96,0.92,0.77,50.42,18,7.55,5,41.46,6963,14,105,16,34.16
5.64,154.7,228.8,199.9,89.2,6,9,53.13,1.55,1.94,1.5,65.76,43,8.32,5,60.88,13800,22,154,21,52.6
2.34,58.3,129.1,180.3,164.1,3,10,40.77,1.7,0.39,0.78,40.85,24,8.95,6,25.58,3176,9,42,9,32.12
6.38,187.8,318.2,140.9,78.1,6,9,77.98,3.12,2.75,2.05,69.52,57,6.69,5,58.18,16178,28,241,34,69.68
6.16,173.7,284.5,183.1,59.6,11,7,65.11,2.85,1.83,1.72,82.6,66,7.82,3,82.82,15883,29,172,30,77.52
4.56,114.1,201.5,241.1,95.8,2,12,55.69,1.6,1.26,1.07,46.99,19,5.82,8,42.89,4681,19,70,11,32.22
5.28,181.9,288.8,175.5,136.2,8,11,53.79,2.76,1.46,1.32,64.76,47,5.57,8,67.6,10433,14,120,22,51.03
7.31,167.0,338.7,63.7,99.4,11,8,72.5,2.71,2.01,1.85,98.15,64,7.44,4,82.89,20012,34,269,41,77.27
2.27,51.7,97.1,273.9,157.1,5,13,31.21,0.22,1.21,0.22,40.13,0,7.16,8,30.2,2802,7,3,6,13.8
4.08,148.9,212.3,263.3,57.8,5,10,65.7,1.26,1.64,0.85,58.36,41,6.73,4,56.0,12706,25,161,25,53.99
3.57,81.6,180.5,205.3,115.0,9,10,60.35,0.58,1.17,0.86,70.28,36,6.57,6,56.18,11550,22,133,20,42.84
6.79,207.4,341.5,79.0,86.9,11,6,86.89,2.35,2.23,1.68,75.92,68,9.07,4,79.45,18224,40,269,36,82.12
6.56,168.6,327.9,118.4,74.0,9,4,70.4,2.82,2.35,2.06,80.79,67,6.76,3,70.28,16541,35,258,34,75.4
7.13,194.6,300.7,105.6,85.8,8,8,82.61,2.73,2.24,2.02,72.3,67,8.9,3,74.65,15949,31,188,26,71.35
2.96,59.2,128.6,188.6,139.2,6,11,43.38,2.08,1.24,0.76,49.3,24,8.3,7,50.3,4948,17,93,9,37.51
2.26,142.8,173.8,227.3,115.7,4,13,44.62,1.4,0.85,1.0,47.03,25,6.08,5,43.29,7496,17,79,16,44.23
5.36,112.3,217.9,125.4,47.1,9,8,65.59,2.19,1.97,1.67,85.64,55,7.88,3,81.25,14708,30,245,28,75.13
4.89,158.2,280.8,174.6,116.6,5,9,58.54,1.85,0.95,1.1,55.87,42,7.32,4,65.15,10409,24,120,21,55.31
6.04,157.2,265.1,151.5,88.5,12,8,65.93,2.44,1.35,1.83,83.11,55,6.54,7,76.28,16277,31,230,33,60.89
5.16,186.5,263.5,121.1,111.4,10,10,75.74,2.44,1.81,1.28,77.76,56,7.21,4,60.99,14014,33,245,31,68.23
4.82,133.6,205.8,221.1,95.8,7,15,34.38,1.96,1.5,1.05,57.57,38,7.32,8,61.25,8076,20,109,16,34.76
4.47,92.8,240.5,113.2,55.4,8,6,53.58,1.11,1.61,0.7,76.53,68,8.26,4,68.29,14719,27,259,19,67.89
3.97,88.1,236.3,152.9,63.2,7,9,71.03,1.16,0.79,1.14,67.54,44,7.16,3,70.54,10499,27,198,20,67.4
4.57,158.2,218.0,277.8,109.0,3,12,34.88,1.75,1.73,1.2,64.76,25,6.3,6,55.05,5123,10,65,6,41.09
7.14,240.3,365.9,161.6,54.9,9,8,70.19,2.89,2.23,1.62,74.62,66,8.33,5,87.13,16754,36,289,32,79.15
3.9,80.4,155.9,140.9,81.0,5,10,49.17,1.55,1.17,0.74,67.96,28,8.1,4,37.41,8015,21,129,12,47.52
6.96,243.7,389.0,102.1,129.4,7,7,65.77,2.68,2.25,2.22,80.39,49,5.99,3,65.46,14298,27,176,27,76.58
3.62,155.2,255.6,286.1,134.7,6,12,57.11,0.43,0.46,0.7,49.88,24,8.49,7,54.48,10293,21,107,20,39.01
7.39,219.6,385.1,85.2,33.2,13,4,84.29,2.35,2.06,2.25,96.83,74,6.86,2,84.21,18749,37,315,43,91.06
4.95,120.8,256.0,153.1,82.5,6,7,43.93,2.23,1.19,1.29,58.19,31,8.73,7,54.19,12109,16,87,20,51.97
4.14,106.7,188.8,213.4,93.4,7,9,62.95,1.42,1.25,1.08,63.86,39,8.51,5,67.05,11291,18,176,24,62.64
6.16,198.3,321.4,70.6,61.6,8,9,61.9,2.24,1.48,1.77,70.17,53,5.7,4,64.97,14174,36,233,28,70.04
5.24,159.6,251.9,236.3,54.5,6,12,48.47,2.63,1.53,1.16,63.51,42,6.64,4,63.92,9714,25,146,22,58.51
2.81,54.6,116.2,157.9,97.8,5,12,48.92,1.35,1.15,0.87,45.04,29,6.68,5,41.69,10117,27,182,20,39.81
3.16,123.5,138.4,205.2,139.2,2,13,60.66,1.27,1.12,0.34,55.96,40,7.21,4,55.34,7855,15,128,12,42.5
3.57,131.0,196.5,222.4,152.5,4,16,48.97,1.6,1.54,0.7,54.39,32,9.69,5,32.44,6643,13,57,10,36.01
4.14,146.5,252.5,238.2,98.6,5,11,51.5,1.18,1.15,0.65,54.7,27,8.77,5,45.3,8207,13,55,20,43.84
7.53,240.4,348.2,106.6,88.0,8,7,56.23,3.09,1.9,1.36,70.19,60,6.81,6,57.31,13221,24,268,27,61.22
4.26,122.6,200.0,185.8,175.8,5,13,56.67,2.58,1.07,1.75,63.97,25,10.0,7,44.39,7301,12,103,16,38.73
3.26,109.4,163.3,237.7,151.1,2,11,32.22,0.99,0.75,1.32,48.39,32,6.85,7,40.78,7019,10,127,9,25.88
3.67,119.4,181.7,160.3,51.8,6,11,57.88,1.36,1.6,0.86,64.36,44,8.12,7,54.39,10953,20,125,22,48.84
5.83,181.7,314.5,170.9,95.7,9,4,71.59,2.63,2.23,1.68,79.59,79,4.72,3,72.74,14850,39,262,38,74.3
7.56,222.5,348.7,94.6,96.9,11,4,73.23,3.61,1.55,2.2,81.57,83,5.51,3,87.64,17000,39,230,33,82.71
4.43,123.4,219.2,219.5,104.1,4,12,43.65,2.23,1.72,0.83,57.42,37,9.03,8,59.97,8318,16,96,13,35.84
3.75,107.1,176.4,254.0,132.3,6,15,36.16,1.0,1.88,1.03,48.51,10,7.22,8,25.7,4300,6,45,3,18.64
5.53,151.3,283.3,50.6,61.2,11,8,73.09,1.32,1.94,1.6,87.36,61,6.67,1,79.9,17040,27,252,33,81.74
3.44,86.2,191.6,173.3,103.6,4,11,54.28,1.12,0.74,1.17,59.37,18,6.36,7,49.76,10801,18,164,19,41.81
4.53,95.9,234.6,160.0,137.8,4,13,44.84,1.56,1.13,1.73,51.77,17,7.35,5,58.22,9430,13,91,17,52.67
5.32,193.7,261.2,194.5,91.6,6,8,55.11,1.46,1.15,1.19,88.14,55,4.0,4,74.29,14089,25,192,28,58.21
2.87,99.6,128.2,172.6,109.1,7,10,47.74,0.97,1.24,0.53,67.16,42,5.99,5,51.46,9067,20,134,16,48.35
5.68,140.5,232.8,204.8,114.5,4,11,81.58,3.01,1.36,1.4,56.22,35,5.62,5,62.66,9126,21,145,18,51.27
3.71,136.3,205.2,188.9,114.5,7,14,42.96,0.42,0.79,0.9,64.81,8,5.8,5,45.34,3300,8,79,9,43.64
3.99,136.6,213.6,220.3,110.2,3,15,56.6,0.45,0.75,1.07,61.04,24,8.42,5,42.25,7141,12,90,14,36.59
5.37,151.8,292.5,151.8,96.6,8,9,60.68,1.52,1.56,1.83,57.95,54,7.11,4,64.8,10809,32,136,26,61.81
3.13,123.9,177.7,124.7,126.4,4,10,56.92,0.95,0.73,1.43,68.14,32,7.2,5,58.32,8047,21,162,20,50.44
4.76,207.1,274.6,142.6,72.0,7,8,70.5,2.16,1.89,0.89,72.81,48,8.26,3,75.26,10240,23,181,21,68.01
4.73,90.9,267.5,187.3,133.9,8,9,57.99,2.61,1.14,1.35,64.12,41,7.99,5,56.05,11981,21,171,18,52.94
5.07,128.3,220.4,187.5,88.9,7,13,48.08,1.34,1.76,1.1,56.79,70,5.76,3,44.2,9677,20,178,17,51.42
7.27,168.4,294.6,52.9,27.9,11,6,88.34,3.42,2.41,1.72,85.15,65,7.29,4,90.41,14869,31,240,40,92.82
3.59,106.2,163.7,65.8,73.3,7,8,67.21,1.63,1.39,0.93,69.91,65,6.33,6,61.76,11471,28,152,24,57.23
4.35,103.8,197.1,183.1,95.0,6,9,53.55,1.97,0.37,1.13,79.13,52,8.82,6,63.66,13160,26,114,27,55.41
4.97,183.0,262.4,129.5,106.2,7,11,62.57,2.01,2.12,0.92,56.86,43,6.44,5,72.64,11218,22,158,20,56.6
7.17,206.7,341.8,161.5,47.9,10,4,76.01,3.05,1.95,1.23,79.54,69,5.98,2,75.55,17976,30,260,31,81.15
5.32,115.6,206.2,166.6,86.7,9,8,47.25,1.71,1.77,1.54,70.98,52,5.83,5,63.35,14876,34,201,32,59.52
3.9,96.1,206.4,196.1,153.4,4,12,42.96,0.99,2.02,1.17,67.47,22,7.27,5,38.09,9128,13,54,15,48.33
5.01,162.8,235.0,189.3,65.5,8,15,73.73,1.2,1.96,0.7,66.18,39,6.92,6,66.54,11675,29,148,29,53.72
3.37,126.7,198.9,153.9,122.6,6,8,48.23,1.64,0.77,0.4,58.45,32,8.0,5,60.74,8381,18,132,21,57.27
5.65,147.7,254.7,93.3,96.6,11,6,84.22,1.77,2.17,1.16,84.95,54,7.43,4,68.42,14970,40,272,32,84.21
5.39,155.3,290.3,132.4,21.3,12,8,84.38,1.68,1.27,1.07,92.35,68,6.58,3,81.21,15171,37,197,40,73.39
6.86,173.7,323.7,197.5,61.8,6,9,76.3,2.33,1.46,1.63,61.8,56,6.95,6,58.53,12714,24,193,26,56.62
7.6,188.4,348.8,73.0,48.8,13,6,100.0,3.46,1.54,1.41,81.78,82,8.62,4,82.19,17816,42,261,36,85.23
4.26,103.4,155.8,165.5,135.1,6,13,53.08,2.08,1.98,0.75,56.58,19,7.32,5,37.06,5361,19,109,13,54.21
5.69,126.8,237.3,144.5,41.4,9,9,65.69,1.66,1.71,2.08,76.25,60,6.3,3,80.29,13672,28,235,25,68.63
6.4,213.8,327.5,127.1,54.6,9,9,71.49,3.3,2.15,1.24,74.77,44,7.2,5,75.64,12884,30,179,22,74.42
5.23,166.6,277.5,198.3,113.3,2,9,52.03,2.56,1.92,0.87,55.61,33,7.02,6,50.12,5554,16,123,20,35.6
5.36,123.7,210.2,223.9,141.3,4,11,59.24,2.1,1.96,1.48,47.36,11,5.85,5,53.07,8307,20,100,12,45.84
2.62,90.6,181.0,176.2,148.7,6,11,52.36,0.87,0.36,0.0,52.9,10,7.97,6,50.45,7284,7,129,12,42.18
3.73,150.4,233.7,115.0,86.9,8,11,59.62,2.12,2.01,1.23,66.07,55,7.64,3,67.61,9889,21,199,25,62.83
4.93,126.4,215.0,114.5,58.0,8,5,67.88,1.97,1.74,2.13,89.11,66,8.04,3,82.46,15350,28,261,31,76.53
4.88,98.6,182.3,244.1,101.7,4,14,62.94,1.2,1.15,1.71,72.2,45,7.36,6,65.3,11154,26,172,20,51.27
1.64,35.9,76.8,269.9,137.9,2,14,39.14,0.42,0.25,0.81,51.39,7,8.38,9,40.33,139,4,56,0,4.01
5.34,191.6,292.0,254.0,149.9,3,12,36.42,1.21,1.57,1.29,50.42,23,8.46,6,58.85,8352,17,111,14,40.27
5.1,198.2,285.9,180.2,69.7,8,8,69.35,1.71,1.94,1.3,74.12,56,4.87,6,62.92,14252,35,153,25,55.18
2.97,102.3,176.7,132.1,86.9,4,13,52.11,1.64,1.25,0.7,59.06,45,8.8,7,61.75,10609,15,117,17,42.83
4.57,150.0,227.4,246.2,136.0,5,10,49.1,2.28,0.63,0.84,55.55,38,6.88,6,57.46,9737,20,129,20,46.23
4.5,155.6,245.7,191.5,73.0,7,6,61.09,2.43,1.31,1.28,74.14,50,6.49,8,60.66,12098,24,216,27,54.13
2.14,63.9,117.1,232.0,154.4,5,12,43.78,1.02,0.85,0.7,44.87,2,7.6,7,33.9,4274,8,92,4,18.67
3.2,77.2,141.6,156.7,100.9,4,13,44.83,1.13,0.59,0.77,59.67,25,6.82,4,48.44,8695,22,144,18,41.23
2.47,74.5,97.4,210.9,102.4,2,11,45.54,1.34,0.35,0.68,48.95,31,7.31,8,30.61,4069,10,108,3,17.19
5.4,197.9,249.9,268.5,75.6,9,9,68.33,2.08,1.32,0.43,74.92,42,6.95,3,78.96,14258,27,144,24,67.87
4.28,115.8,198.2,140.8,78.1,8,13,52.37,2.03,1.11,0.89,58.43,29,7.75,8,54.85,7272,17,121,17,44.07
6.19,163.7,307.1,173.5,39.2,7,4,52.88,2.33,2.06,1.5,79.38,65,5.2,4,68.84,15183,32,219,30,66.97
6.87,182.1,315.6,119.1,23.4,9,8,77.57,2.57,2.64,2.0,88.05,76,8.73,3,93.89,19948,40,239,37,87.33
6.0,167.9,299.8,170.7,68.7,9,6,85.19,2.81,2.39,1.58,85.73,42,8.51,4,56.17,14171,27,205,34,76.95
4.99,125.8,255.5,111.9,121.7,8,5,64.34,1.99,1.84,1.0,70.96,51,5.57,5,72.19,15389,30,247,29,64.95
