study_hours_per_day,app_usage_minutes,idle_time_minutes,lms_logins_per_week,submission_offset_hours,completion_rate_percent,deadline_misses_30d,streak_days,avg_session_length_min,distraction_visits_per_day,sleep_hours,risk_level,is_procrastinator
3.64,204.6,59.8,6,-2.7,52.9,9,5,42.4,10,5.6,High,1
6.19,81.0,15.9,12,44.3,79.7,5,13,56.3,2,4.99,Low,0
5.42,57.0,20.7,14,51.9,71.9,5,17,41.7,1,6.61,Low,0
2.73,235.1,49.0,11,12.6,45.6,10,4,23.3,7,6.29,High,1
3.11,152.7,36.5,6,27.2,56.4,7,5,23.8,9,4.92,Moderate,1
2.75,207.5,54.5,6,-25.8,28.9,7,0,33.2,14,6.35,High,1
1.99,173.0,54.9,8,-3.7,35.0,7,6,16.8,8,6.22,High,1
5.83,131.3,35.0,10,39.0,71.7,5,12,32.9,6,6.49,Moderate,0
2.2,221.7,58.5,9,-12.4,52.0,7,6,29.6,10,5.06,Moderate,1
3.84,139.8,31.8,10,12.3,51.6,7,6,24.2,10,6.12,Moderate,1
4.43,57.0,57.5,12,27.5,71.8,5,13,52.9,11,7.83,Low,0
4.07,92.9,44.0,7,11.6,61.0,7,10,46.2,4,7.17,Low,0
2.99,105.0,31.3,10,12.3,91.7,5,19,59.1,6,7.31,Moderate,0
2.42,194.8,61.6,6,3.6,29.8,11,0,48.7,13,7.05,High,1
0.3,230.0,72.1,4,-2.2,27.3,13,0,31.1,13,5.95,High,1
0.64,228.5,90.6,5,1.9,28.8,12,2,27.5,19,4.72,High,1
5.7,142.0,11.5,10,23.5,68.2,5,15,45.1,5,6.2,Low,0
2.01,195.7,17.6,4,5.3,35.6,9,10,56.6,13,6.24,Moderate,1
0.0,261.7,50.2,4,7.7,32.0,11,1,27.7,14,3.81,High,1
4.19,135.6,13.6,13,13.5,70.2,5,12,53.5,6,6.42,Moderate,0
3.14,177.5,56.5,4,32.5,50.8,9,9,42.6,12,5.64,Moderate,0
3.52,75.2,6.8,10,29.4,71.8,2,16,44.0,8,6.35,Moderate,0
3.53,124.5,38.8,9,30.4,47.3,6,8,56.4,13,6.15,Moderate,0
5.03,73.0,25.2,7,24.4,61.4,6,10,72.6,10,7.22,Low,0
5.07,155.1,57.5,9,6.3,52.7,6,14,60.7,6,5.99,Moderate,1
2.9,175.8,43.5,7,22.0,44.6,7,12,33.6,6,6.18,Moderate,1
4.66,130.3,40.8,7,14.9,53.8,7,1,30.4,7,5.79,Moderate,1
2.77,225.2,25.1,5,-4.1,49.9,8,7,22.6,9,5.75,High,1
3.35,188.4,36.6,9,6.7,35.6,8,7,8.0,12,5.57,High,1
5.57,76.8,21.4,12,43.7,73.8,4,18,48.0,5,6.94,Low,0
4.65,181.6,15.6,8,8.0,52.2,6,10,58.4,8,6.13,High,1
0.5,151.1,65.0,7,4.6,55.5,10,3,37.5,4,6.65,High,1
2.71,213.3,50.3,11,22.2,50.0,11,4,15.3,8,5.67,Moderate,1
5.67,147.8,35.2,9,17.3,47.5,8,5,25.3,11,5.56,Moderate,0
3.37,204.7,44.4,6,-19.6,48.7,7,11,29.0,8,6.47,Moderate,0
5.09,93.1,24.7,11,34.3,80.7,5,16,61.0,4,7.16,Moderate,0
4.13,173.8,75.6,8,27.4,49.1,6,5,57.2,8,4.92,Moderate,0
4.06,118.4,43.0,11,13.5,81.4,2,17,52.1,8,6.21,Moderate,1
4.16,189.5,71.0,8,7.4,53.5,7,5,32.7,7,5.14,High,1
3.27,110.0,53.4,10,21.0,65.5,6,8,41.5,9,6.01,Moderate,1
3.06,251.5,76.4,4,7.0,41.8,11,8,49.0,12,5.76,High,1
3.66,170.7,21.7,11,6.2,71.1,6,13,40.9,8,6.73,Low,0
3.33,113.2,37.2,8,-11.0,73.9,8,5,54.4,7,5.49,High,1
3.67,161.2,24.5,4,38.5,71.6,5,11,49.3,7,7.55,Moderate,0
2.31,237.4,44.3,9,8.2,35.8,10,0,28.1,12,5.52,High,1
1.65,288.7,58.7,7,-9.3,41.0,13,0,21.2,15,5.21,High,1
5.43,59.5,17.6,11,37.9,75.0,1,16,57.2,3,7.23,Low,0
3.76,103.7,9.2,10,32.1,60.9,5,10,49.6,4,6.35,Moderate,0
5.33,81.1,7.6,17,47.8,84.6,3,12,54.6,1,7.34,Low,0
6.23,71.8,22.2,15,56.4,90.4,1,18,53.0,2,7.33,Low,0
0.9,146.7,43.9,6,0.9,35.3,8,6,38.6,12,5.23,High,1
1.31,174.0,46.9,6,10.5,46.6,11,7,34.7,12,5.89,Moderate,1
3.18,179.6,64.9,7,-5.2,40.9,8,8,39.4,7,6.66,Moderate,1
1.67,231.5,47.1,12,5.7,73.0,6,7,38.0,12,5.69,Moderate,1
4.65,230.3,40.0,5,20.0,62.7,8,7,31.6,4,6.66,High,1
1.59,269.6,46.2,5,14.4,38.5,10,5,25.3,12,6.73,High,1
5.36,77.1,20.5,8,34.4,57.7,4,9,40.1,9,6.22,High,1
6.02,124.7,8.9,11,36.0,70.2,1,17,59.9,6,6.33,Moderate,0
3.4,246.7,77.4,8,-0.9,41.8,5,8,34.1,10,5.19,Moderate,1
3.66,140.0,36.9,9,-0.7,61.0,6,10,26.4,13,6.61,High,1
7.18,135.4,14.0,8,35.3,96.0,4,18,46.9,0,7.68,Low,0
4.96,132.0,46.7,11,28.6,70.9,4,11,48.6,11,7.22,Moderate,0
5.14,170.7,53.4,11,16.5,44.6,7,10,36.4,12,5.44,High,1
1.65,252.5,36.1,4,-11.1,25.6,10,6,34.7,12,5.24,High,1
4.29,99.6,55.5,6,21.0,67.3,5,9,50.3,12,6.21,Low,0
5.55,119.2,37.9,11,25.7,76.8,5,13,45.2,4,7.02,Low,0
1.56,208.5,36.4,4,18.4,34.1,11,4,35.2,9,6.61,High,1
4.78,116.1,48.0,12,14.2,73.9,4,15,47.5,2,7.04,Moderate,0
4.67,104.5,32.4,12,24.9,75.6,1,17,46.6,1,6.7,Low,0
3.61,166.4,45.5,10,-3.3,47.0,10,9,33.4,14,6.77,High,1
3.93,188.5,75.0,9,18.0,61.5,8,10,21.7,8,5.42,Moderate,1
2.39,128.4,50.1,9,12.5,41.5,8,12,39.3,11,6.64,High,1
2.53,162.5,61.6,2,-0.7,33.9,7,8,25.6,11,6.1,High,1
1.91,202.9,31.0,9,9.4,49.6,9,7,35.5,12,5.32,High,1
2.35,278.2,23.7,7,11.4,52.4,7,9,48.6,5,6.44,Moderate,0
5.04,126.2,61.1,10,20.7,47.6,8,11,38.3,6,6.39,Low,0
5.75,92.7,34.3,8,61.1,91.4,5,14,32.7,4,6.32,Moderate,0
5.95,56.4,8.3,13,25.8,87.4,1,18,43.6,2,6.81,Low,0
3.79,171.4,5.0,10,8.7,44.2,5,8,44.3,10,6.87,High,1
1.64,178.7,50.8,10,14.9,53.8,4,12,49.7,3,7.1,Moderate,1
4.35,149.2,25.6,9,31.2,71.5,2,19,62.0,3,7.88,Moderate,0
5.29,38.3,21.7,14,49.8,80.9,5,19,45.1,0,6.16,Low,0
3.16,144.2,36.1,10,19.4,64.9,3,5,60.5,11,7.93,Low,0
3.85,203.6,45.8,7,25.0,51.9,10,11,54.0,9,5.24,High,1
3.55,173.7,63.0,5,3.6,54.4,8,13,33.6,5,5.63,Moderate,1
4.2,76.2,14.3,10,21.1,77.3,3,12,54.4,0,7.03,Low,0
2.44,111.3,43.8,9,16.6,61.2,4,18,45.8,7,7.4,Moderate,0
4.15,106.2,40.0,10,25.3,70.8,2,15,57.4,8,6.84,Low,0
4.46,109.5,20.3,10,28.2,88.2,1,13,43.7,1,7.84,Low,0
1.04,272.8,85.4,5,8.1,39.2,9,4,15.6,16,5.39,High,1
6.64,155.0,57.4,9,29.0,55.6,4,18,28.7,2,5.07,Moderate,0
3.4,185.2,45.4,7,-8.3,37.9,10,1,23.7,10,5.54,High,1
3.26,134.8,38.1,10,39.6,50.6,5,11,19.2,0,6.68,Moderate,0
4.04,126.3,53.1,9,24.2,50.8,8,6,48.9,6,5.83,Low,0
1.57,199.8,52.6,1,6.9,60.3,7,5,34.8,17,7.15,High,1
4.61,168.0,36.4,8,34.1,51.3,10,7,43.0,3,6.2,Moderate,1
3.37,213.3,72.3,9,10.3,40.1,8,11,28.5,8,5.92,Moderate,1
4.03,159.9,73.1,10,2.2,45.5,9,6,27.5,14,8.21,High,1
2.82,192.1,35.2,7,17.1,63.0,8,2,24.5,12,6.56,Moderate,0
7.12,81.3,20.1,11,43.4,87.0,4,14,57.5,3,5.63,Low,0
2.58,112.9,35.6,13,15.7,65.2,5,17,38.0,4,8.61,Low,0
2.98,238.5,49.5,5,-0.6,22.9,10,3,12.8,17,6.29,High,1
6.23,58.5,1.6,15,25.0,86.5,2,15,55.9,0,6.51,Low,0
5.28,120.0,45.6,13,37.4,75.8,3,15,51.7,5,7.07,Low,0
3.75,170.3,69.9,3,-8.2,54.2,9,11,47.6,5,5.74,High,1
4.31,127.9,43.5,4,30.4,39.5,8,11,35.6,11,6.34,Moderate,0
3.05,177.8,67.7,8,-2.2,45.1,9,3,30.6,11,5.06,High,1
2.88,177.4,86.1,9,13.1,34.2,7,9,39.8,12,5.74,Moderate,1
0.33,234.4,52.7,5,-14.5,42.0,11,3,34.1,17,4.54,High,1
4.99,127.9,15.8,11,33.3,71.0,5,14,52.6,0,6.39,Moderate,0
4.46,64.1,0.0,8,52.0,96.4,2,20,58.4,0,6.67,Low,0
1.25,202.3,66.7,4,3.8,49.9,10,0,5.0,9,6.27,High,1
3.53,25.3,43.2,8,21.1,68.4,4,10,37.8,7,5.13,Low,0
5.67,104.5,21.4,12,30.5,67.4,0,11,35.3,2,4.94,Moderate,0
0.69,165.9,45.1,8,-17.5,19.9,9,2,30.9,16,5.82,High,1
4.88,97.7,21.5,8,24.1,65.7,3,15,59.3,6,7.76,Low,0
5.56,106.8,67.9,14,20.1,78.0,4,16,37.2,3,7.66,Low,0
1.55,203.6,9.3,8,28.7,60.4,5,9,37.4,9,5.7,Low,0
1.82,285.6,29.5,6,18.7,58.5,7,11,30.4,12,5.53,High,1
4.39,152.1,72.3,7,3.1,71.5,10,9,37.3,8,5.04,Moderate,0
1.65,180.0,53.6,8,-1.1,45.5,10,2,34.3,15,4.96,High,1
5.12,54.6,15.1,15,25.3,88.1,2,14,55.3,0,4.94,Low,0
2.98,188.9,77.8,6,16.5,40.8,10,9,43.0,10,8.07,High,1
3.37,169.0,74.2,2,8.6,44.4,12,10,26.6,10,6.05,Moderate,1
2.59,200.3,46.5,8,8.3,44.1,7,14,58.6,8,5.79,Moderate,1
2.79,169.1,63.8,9,25.5,37.7,7,6,50.8,4,6.0,Moderate,0
6.91,150.1,40.6,11,38.8,85.3,2,16,56.0,6,6.19,Low,0
0.43,250.0,84.7,6,-12.3,21.1,14,0,20.8,10,4.94,High,1
4.69,126.3,46.9,10,13.7,75.0,4,13,34.4,0,6.34,Low,0
2.83,168.0,39.2,9,5.1,69.4,8,10,30.0,4,5.59,Low,0
1.71,187.1,40.5,4,3.1,34.7,10,4,12.0,15,5.22,High,1
2.71,139.3,31.0,13,16.5,77.7,5,8,43.9,10,7.13,Low,0
2.89,127.1,39.3,6,18.7,47.3,8,10,34.5,3,7.61,Moderate,1
4.75,104.0,20.0,9,29.5,80.0,3,18,49.1,3,7.21,Low,0
4.2,184.1,39.4,4,-4.9,51.1,7,8,39.3,12,6.2,Moderate,1
1.12,191.6,69.8,10,14.8,43.6,8,5,48.0,7,6.66,Moderate,1
4.67,99.6,33.7,13,24.8,77.6,4,4,64.4,7,7.22,Moderate,0
7.16,35.8,6.1,12,53.2,91.6,2,11,58.1,7,6.11,Low,0
7.96,0.0,35.3,11,50.5,84.1,1,21,48.9,0,6.43,Low,0
5.87,148.0,40.6,11,38.3,81.0,0,12,59.5,0,5.3,Low,0
3.85,146.1,55.1,9,23.6,75.0,8,5,14.7,7,5.79,High,1
0.07,171.2,69.7,5,2.1,38.8,10,5,50.5,13,5.82,High,1
3.51,212.4,44.6,8,21.7,52.5,6,8,30.8,10,7.83,Moderate,0
2.32,126.6,69.2,11,1.2,55.6,10,13,47.3,12,5.52,Low,0
1.97,169.7,61.9,3,9.1,33.8,7,2,52.1,11,5.8,High,1
3.13,116.9,42.0,9,10.7,48.8,9,7,35.5,2,5.45,Moderate,1
4.17,86.3,9.9,10,37.4,79.1,4,20,34.9,4,8.59,Moderate,0
6.35,68.2,29.0,10,28.2,80.6,4,20,54.0,6,6.85,Low,0
3.49,197.0,59.6,8,19.8,46.2,8,7,50.7,12,5.22,High,1
2.42,201.0,40.9,7,10.9,47.9,7,4,41.7,13,6.6,High,1
5.41,64.7,10.4,10,47.7,72.4,0,17,38.5,0,6.69,Low,0
4.6,111.6,46.6,6,27.0,75.4,4,9,49.7,10,7.08,Moderate,1
3.08,134.7,21.0,11,10.9,72.0,4,13,48.0,3,7.19,Low,0
2.4,269.4,60.0,4,15.1,63.4,11,4,27.4,14,4.52,High,1
6.05,108.6,53.4,10,44.4,79.2,0,17,46.3,0,6.8,Low,0
1.51,207.4,56.8,5,11.5,46.7,6,9,28.1,16,6.03,High,1
2.4,262.2,66.0,3,2.6,18.0,10,5,33.9,12,6.15,High,1
3.99,118.6,56.9,12,19.3,57.6,5,14,34.8,11,7.27,Moderate,0
2.99,154.8,11.9,11,31.8,91.5,3,11,31.7,8,5.43,Moderate,0
3.16,217.9,40.5,8,-10.0,51.0,6,8,26.4,9,5.14,Moderate,0
4.62,104.8,47.1,7,16.3,40.1,8,13,24.3,4,6.59,Moderate,0
4.29,63.2,0.0,14,39.2,78.1,2,20,48.0,7,7.08,Low,0
2.75,153.5,38.0,12,19.7,66.0,5,14,66.6,5,7.04,Moderate,0
2.49,186.9,51.6,5,5.8,58.8,15,8,46.8,20,5.14,High,1
2.9,135.5,22.8,7,22.1,59.8,6,4,40.7,10,5.68,Moderate,0
2.46,214.0,47.3,4,9.1,20.1,7,6,22.1,10,3.35,High,1
2.18,162.9,39.0,7,16.9,48.9,6,15,29.9,9,6.8,Moderate,1
5.87,116.9,25.7,10,32.6,89.6,8,10,52.5,9,7.55,Low,0
4.38,153.5,48.1,7,25.1,70.1,3,15,31.5,7,6.25,Low,0
6.61,105.8,31.0,10,27.2,82.5,6,16,57.7,6,5.85,Low,0
6.0,77.6,19.1,9,35.8,72.6,4,17,50.4,0,5.57,Low,0
4.94,156.1,29.7,15,36.3,69.3,6,11,20.7,8,6.42,Moderate,1
4.72,113.3,31.2,10,15.4,77.1,7,15,22.1,6,7.56,Moderate,0
2.98,195.6,48.0,6,36.0,69.0,7,13,34.2,8,6.84,Moderate,0
1.44,159.1,58.7,4,-0.6,41.5,8,7,26.9,8,5.82,High,1
3.62,88.3,26.4,8,9.7,53.5,5,8,40.8,6,5.05,Low,0
4.24,106.5,35.4,4,8.9,46.6,10,3,34.2,10,6.59,High,1
2.02,118.9,24.8,12,34.3,71.6,4,14,36.6,11,6.86,Moderate,0
2.61,208.3,43.4,11,28.9,59.3,5,14,44.4,6,7.26,Moderate,1
2.26,148.4,42.1,8,34.2,54.9,5,11,51.9,6,6.61,Moderate,0
4.8,165.4,16.9,8,28.1,81.7,7,10,36.0,6,8.14,Moderate,0
3.04,204.3,62.5,8,2.1,37.8,12,2,20.1,16,5.09,High,1
4.88,149.6,51.1,9,36.1,72.5,6,10,60.1,6,7.28,Low,0
2.24,155.5,45.5,6,22.6,70.6,9,4,41.7,10,5.49,Moderate,1
4.84,93.3,44.8,12,33.9,57.6,4,17,37.0,7,6.44,Moderate,0
0.47,239.9,53.3,3,-22.2,46.9,11,0,29.5,12,5.83,High,1
5.2,99.5,26.9,12,35.2,94.5,4,15,55.8,0,6.22,Moderate,0
3.34,55.1,13.4,11,8.4,97.7,5,18,40.2,0,7.28,Low,0
3.84,203.1,31.0,10,-8.9,61.0,9,2,33.0,9,5.17,High,1
3.75,123.1,17.3,8,24.2,62.2,6,9,44.5,12,5.79,Moderate,0
5.58,151.4,48.7,6,46.7,59.2,5,18,39.0,5,5.31,Low,0
3.51,155.0,57.2,7,9.7,65.8,5,1,21.0,8,5.92,High,1
2.78,157.2,50.9,9,13.2,62.8,5,13,59.1,5,7.67,Moderate,0
4.4,89.6,24.7,10,29.0,70.2,6,16,44.3,8,6.91,Low,0
3.74,184.9,49.5,12,8.9,63.5,7,9,19.6,3,7.97,Moderate,0
1.48,285.0,59.7,4,6.9,34.7,8,2,27.3,12,5.57,High,1
2.63,174.2,45.9,4,-20.3,63.4,8,5,34.3,12,6.9,High,1
1.36,185.2,19.2,10,5.8,57.2,6,7,44.5,9,7.67,High,1
2.88,117.4,40.8,6,12.3,58.7,7,11,47.0,3,7.08,High,1
3.68,161.9,36.0,14,8.1,64.8,8,10,47.8,3,5.61,Moderate,1
4.34,101.8,33.4,11,29.0,80.7,2,15,45.4,3,7.1,Moderate,0
1.08,211.8,32.0,3,8.6,38.7,13,3,14.9,7,4.18,High,1
3.44,50.7,21.9,11,37.3,87.2,5,16,49.7,0,6.86,Low,0
6.26,92.4,21.4,13,32.6,86.3,1,22,46.8,1,7.39,Low,0
2.27,165.3,51.7,9,27.7,37.4,4,8,17.9,14,4.89,Moderate,1
4.06,91.5,22.9,9,30.7,71.9,4,13,42.8,10,7.43,Low,0
1.5,197.4,40.0,5,5.6,61.1,11,2,27.5,14,5.55,High,1
3.14,245.4,42.7,6,30.4,51.9,10,8,60.5,5,4.93,High,1
6.08,121.6,58.1,6,13.8,59.7,6,8,29.6,5,6.81,Moderate,0
3.97,167.8,48.5,7,12.6,56.7,8,7,38.6,11,6.64,Moderate,1
2.45,171.2,50.8,6,17.6,42.4,10,8,32.4,7,5.56,High,1
2.2,129.5,31.5,6,3.5,54.8,9,9,39.8,16,4.85,Moderate,0
5.81,93.6,34.1,7,20.2,65.0,3,11,37.1,4,4.89,Moderate,0
6.41,58.7,18.1,13,41.7,75.9,3,17,56.0,8,5.96,Low,0
6.84,35.5,17.9,12,49.6,96.1,0,17,61.7,4,6.52,Low,0
1.72,225.7,90.5,6,-1.3,45.8,9,10,25.1,12,7.32,High,1
6.28,143.3,38.6,11,25.8,52.1,6,10,22.5,3,7.2,High,1
5.58,60.6,17.1,13,39.9,85.7,0,19,28.9,5,5.92,Low,0
3.41,110.0,37.5,8,31.3,60.1,6,13,48.8,9,6.32,High,1
2.99,155.9,1.8,12,14.1,58.6,6,10,32.1,12,6.41,Moderate,1
3.33,209.5,57.9,8,10.1,62.7,9,5,47.8,5,5.51,Moderate,1
3.34,121.8,46.3,7,32.2,66.1,4,14,35.9,5,6.27,Moderate,1
2.2,144.3,14.9,9,15.7,58.8,9,5,26.0,13,6.37,High,1
3.58,149.5,0.0,13,27.0,68.9,2,20,52.5,5,5.83,Low,0
5.17,131.2,29.9,12,24.0,65.8,5,18,38.7,6,7.06,Moderate,0
5.45,114.4,45.9,10,24.3,81.6,5,15,51.2,5,5.78,Low,0
1.99,177.8,48.7,8,-9.8,37.0,8,10,39.8,9,4.67,Moderate,0
5.66,92.2,35.6,15,8.6,91.0,3,11,49.2,8,7.27,Low,0
4.92,110.8,22.3,13,53.5,86.7,2,14,43.8,5,5.54,Low,0
4.73,199.9,17.0,12,13.7,55.0,7,10,43.4,10,7.4,High,1
3.41,180.0,50.5,10,-7.5,58.3,4,8,42.5,8,6.93,Moderate,1
6.88,109.8,25.0,11,18.2,86.7,4,18,48.7,4,6.51,Low,0
2.31,185.4,40.7,6,20.2,36.1,10,9,28.8,13,5.79,High,1
4.56,180.1,51.1,6,-1.6,63.3,5,4,42.4,5,6.7,High,1
3.99,72.3,24.3,11,31.3,79.9,7,15,33.4,2,7.89,Low,0
6.84,88.5,1.8,12,51.7,84.0,2,22,60.1,1,7.31,Low,0
1.66,142.5,47.0,7,4.1,50.5,8,4,26.6,10,5.66,Moderate,1
4.24,168.5,58.6,7,8.7,54.6,7,7,43.1,10,6.62,Moderate,1
2.02,178.7,56.6,14,9.5,49.1,7,6,29.5,7,5.53,Moderate,0
3.9,177.3,56.9,8,9.8,47.7,8,8,47.6,14,4.99,Moderate,1
6.18,65.8,0.0,13,58.3,81.4,1,17,56.8,0,6.99,Low,0
3.97,93.9,40.1,10,22.6,40.1,5,8,39.4,5,6.48,Moderate,1
3.87,191.7,87.4,4,-4.0,50.7,12,4,50.8,10,6.56,High,1
4.49,41.0,14.9,13,16.3,92.3,3,17,53.8,2,6.41,Low,0
3.76,161.9,41.5,7,30.1,60.2,6,14,46.4,3,5.54,Low,0
4.03,80.6,23.2,11,11.4,89.0,1,17,49.0,4,7.34,Low,0
3.31,167.2,27.5,9,16.5,34.6,12,10,34.3,10,6.53,High,1
4.59,154.9,23.2,11,23.7,51.1,4,15,41.6,5,7.05,High,1
3.62,170.7,49.8,8,-16.5,44.2,4,6,41.7,13,6.03,Moderate,1
1.81,201.0,39.7,6,2.7,49.1,5,12,34.2,8,5.99,High,1
2.91,243.9,65.2,4,-7.4,45.6,11,2,29.1,11,5.24,High,1
2.23,241.8,63.5,8,15.6,41.7,10,8,24.3,16,5.22,High,1
4.85,37.9,0.0,10,33.4,75.3,3,19,61.0,3,8.86,Low,0
2.64,207.7,46.2,10,17.0,50.7,8,8,17.3,8,6.45,High,1
0.57,202.1,51.7,8,20.3,38.2,11,8,36.9,9,5.57,High,1
2.76,132.2,36.9,11,17.9,66.6,8,11,40.9,7,6.34,Moderate,1
2.27,221.1,69.0,8,-23.4,33.5,11,1,33.5,15,5.63,High,1
4.17,119.0,28.4,12,29.3,60.6,5,8,24.7,9,5.16,Moderate,1
2.86,213.6,54.9,10,-6.1,45.7,6,9,40.7,10,5.95,Moderate,1
1.97,155.7,65.1,4,1.5,47.3,11,1,28.7,16,6.3,High,1
5.32,29.7,38.2,13,27.3,72.3,5,16,47.0,0,6.1,Moderate,1
4.72,142.7,43.7,11,17.3,68.7,5,16,39.3,7,5.89,Moderate,0
0.99,211.6,53.8,8,-0.8,25.9,12,8,25.9,14,4.81,High,1
1.64,208.2,57.3,7,4.9,38.4,8,8,20.8,9,5.92,Moderate,1
2.57,193.8,45.4,9,10.1,60.1,7,9,44.6,8,6.53,Moderate,1
3.68,163.2,35.8,8,0.5,59.1,8,6,39.5,7,5.38,High,1
