event_id,user_id,recommendation_class,class_name,status,confidence,shown_at,responded_at,completed_at,pre_productive_mins,post_productive_mins,productive_change_mins,pre_distraction_mins,post_distraction_mins,distraction_change_mins,post_focus_sessions,post_tasks_completed
6a7de8b6028df18a765a56b4,6a738ddf64da240543b95d29,3,"Practice Coding",shown,0.34,"2026-08-13T15:54:30.398Z","","",1.57,0.42,-1.15,0.45,0.00,-0.45,0,0
6a7de97f028df18a765a578b,6a7de97db9c063280d343d9d,0,"Continue Current Skill",shown,0.28,"2026-08-13T15:57:51.088Z","","",0.00,0.00,0.00,0.00,0.00,0.00,0,0
6a7dea36028df18a765a58aa,6a7dea358a9b32f9c1587071,0,"Continue Current Skill",shown,0.28,"2026-08-13T16:00:54.305Z","","",0.00,0.00,0.00,0.00,0.00,0.00,0,0
6a7dea36028df18a765a58af,6a7dab603f0f4990f99a6222,1,"Start Focus Session",completed,0.88,"2026-08-13T16:00:54.627Z","2026-08-13T16:19:29.282Z","2026-08-13T16:19:29.431Z",20.00,5.00,-15.00,0.00,0.00,0.00,2,0
6a7dea38028df18a765a58d3,6a7dab603f0f4990f99a6222,0,"Continue Current Skill",completed,0.26,"2026-08-13T16:00:56.227Z","2026-08-13T16:00:58.749Z","2026-08-13T16:00:58.913Z",20.00,5.00,-15.00,0.00,0.00,0.00,2,0
6a7dea3c028df18a765a5980,6a7dab603f0f4990f99a6222,2,"Take Short Break",shown,0.32,"2026-08-13T16:01:00.933Z","","",20.00,5.00,-15.00,0.00,0.00,0.00,1,0
6a7dea3c028df18a765a5982,6a7dab603f0f4990f99a6222,2,"Take Short Break",shown,0.32,"2026-08-13T16:01:00.935Z","","",20.00,5.00,-15.00,0.00,0.00,0.00,1,0
6a7dea3c028df18a765a5984,6a7dab603f0f4990f99a6222,2,"Take Short Break",completed,0.32,"2026-08-13T16:01:00.937Z","2026-08-13T16:19:32.664Z","2026-08-13T16:19:32.812Z",20.00,5.00,-15.00,0.00,0.00,0.00,1,0
6a7dee90028df18a765a5ae0,6a7dee8f779cac297dba6437,0,"Continue Current Skill",shown,0.28,"2026-08-13T16:19:28.670Z","","",0.00,0.00,0.00,0.00,0.00,0.00,0,0
6a7dee97028df18a765a5bd4,6a7dab603f0f4990f99a6333,0,"Continue Current Skill",shown,0.28,"2026-08-13T16:19:35.446Z","","",0.00,0.00,0.00,0.00,0.00,0.00,0,0
