productivity_score,focus_score,study_hours,xp,level,streak_days,completed_tasks,pending_tasks,coding_hours,reading_hours,revision_hours,quiz_score,productive_minutes,distraction_minutes,idle_minutes,sleep_hours,skill_progress,deadline_completion_rate,focus_sessions,average_session_minutes,recommendation
49.26,57.61,1.5,5426,6,41,3,7,0.19,1.77,0.39,43.08,95.47,154.64,112.73,8.69,11.38,37.67,2,30.07,5
63.36,83.31,5.74,22689,23,44,6,5,1.79,0.67,3.84,45.69,295.59,97.46,109.98,7.46,49.3,46.07,3,37.15,4
42.81,76.85,6.45,26148,27,33,8,3,0.33,1.12,3.11,48.49,210.36,116.33,131.59,5.0,61.42,62.97,3,35.1,4
38.86,48.38,2.8,20691,21,24,8,6,0.61,0.56,0.59,55.88,134.65,173.07,160.99,5.89,50.27,67.99,2,39.19,1
62.54,81.67,6.93,18395,19,41,11,4,4.42,1.9,0.67,49.49,347.77,81.81,94.28,7.49,37.51,78.26,3,46.6,4
86.44,62.31,5.87,35557,36,53,2,2,1.61,1.43,1.28,69.79,140.52,123.49,74.71,6.46,89.22,73.22,2,42.29,0
81.47,83.23,6.42,32138,33,49,15,2,0.79,3.43,1.57,83.7,323.03,106.35,86.88,9.04,77.51,91.95,2,42.71,7
67.51,80.09,6.98,31828,32,43,11,8,4.19,0.69,1.54,48.11,285.01,95.76,109.46,7.34,74.42,62.64,3,36.75,4
91.9,76.73,7.96,23335,24,58,13,4,1.14,1.32,1.14,82.71,414.01,104.37,72.74,7.97,50.12,66.24,7,86.44,2
63.4,62.96,3.66,20603,21,49,11,4,3.32,0.84,1.24,53.18,301.31,130.5,94.88,7.26,51.96,77.88,2,36.17,4
77.33,93.73,9.5,33523,34,47,7,2,1.11,2.76,1.59,62.48,491.8,73.64,83.4,5.62,73.49,88.42,5,72.6,2
52.68,28.68,2.57,25408,26,33,2,7,0.78,1.15,0.86,60.88,45.14,226.78,118.98,8.86,68.96,72.53,2,25.22,1
88.42,61.26,5.17,31803,32,54,4,5,1.07,1.41,1.46,59.6,279.73,146.87,60.82,8.78,78.72,85.04,3,47.62,0
42.31,40.47,2.61,19526,20,25,6,4,0.46,1.1,0.3,43.05,148.83,193.08,135.2,7.3,49.58,49.65,1,32.88,1
31.65,41.09,3.7,17454,18,22,5,13,0.69,1.56,0.6,52.81,131.34,204.69,155.83,9.72,40.16,36.38,2,33.77,6
44.46,22.85,3.02,24824,25,29,2,6,0.96,0.82,1.21,47.09,128.68,244.01,109.91,7.01,62.56,59.16,2,33.75,1
83.08,61.94,3.68,33996,34,56,4,1,1.14,2.84,0.92,70.37,217.86,140.65,58.66,6.37,86.36,91.08,3,44.46,0
76.86,79.99,3.97,18519,19,47,8,6,3.04,1.36,0.84,63.91,320.34,95.6,87.49,7.29,42.61,63.41,2,36.87,3
37.75,41.19,4.46,21091,22,23,4,24,0.92,1.62,1.47,62.46,92.76,213.56,147.77,7.43,47.62,30.11,1,29.21,6
68.61,62.39,5.61,36675,37,44,3,4,1.35,2.16,1.19,65.74,274.16,131.09,100.96,5.37,90.92,74.37,3,33.2,0
82.6,67.4,6.75,35716,36,52,20,2,1.41,2.31,1.23,88.75,291.37,130.04,80.06,7.59,85.8,88.05,3,37.97,7
34.76,48.3,1.47,15561,16,25,7,5,0.49,1.99,0.6,59.89,50.04,175.75,130.46,7.31,40.65,55.27,3,29.46,1
51.98,22.01,1.28,17032,18,32,7,6,1.58,1.45,1.1,50.57,94.19,238.77,116.82,7.24,44.05,66.49,3,22.18,1
80.02,60.36,5.32,28387,29,53,8,8,2.87,1.81,1.58,73.56,309.41,150.55,76.22,6.14,67.72,65.58,2,38.78,3
92.3,76.39,9.91,30187,31,65,9,5,1.09,1.34,1.99,76.38,302.03,122.57,65.29,10.0,63.33,72.36,5,52.44,2
61.21,65.34,2.16,21754,22,37,1,19,0.61,1.05,1.97,66.73,180.23,118.73,101.14,6.64,57.45,37.37,2,35.06,6
87.71,63.45,3.06,29892,30,54,2,3,1.51,2.78,1.06,65.37,292.99,138.04,52.77,8.15,79.86,92.15,2,45.64,0
84.12,70.92,3.68,31757,32,50,21,3,1.12,2.98,1.86,77.38,216.01,127.46,90.27,8.57,79.93,80.23,3,34.83,7
72.75,61.08,6.46,30402,31,50,2,3,0.81,1.38,1.51,65.05,191.48,139.37,104.9,7.21,71.61,72.93,2,41.73,0
85.33,87.96,6.31,35543,36,53,21,2,0.95,2.07,1.99,79.06,200.13,83.73,72.04,7.37,85.94,75.46,2,36.61,7
83.01,61.89,5.12,36343,37,52,2,4,1.75,1.61,0.94,68.69,276.98,152.52,80.02,7.87,90.48,73.29,2,37.71,0
61.04,81.0,4.88,29502,30,38,8,7,5.68,1.09,1.03,55.14,237.36,82.29,113.51,4.93,74.13,73.27,2,37.13,3
91.1,87.34,7.56,27868,28,55,10,5,1.78,1.08,2.42,79.29,386.42,85.73,66.69,6.85,63.4,71.56,8,64.94,2
46.21,67.79,1.43,9608,10,28,3,8,0.73,0.94,0.74,55.25,102.87,131.79,130.55,7.25,23.01,54.53,2,38.88,5
77.25,86.35,7.69,31274,32,52,5,5,1.28,2.28,1.51,60.54,425.98,92.97,79.4,6.91,72.01,81.03,8,82.53,2
72.78,62.61,6.45,29645,30,47,3,4,3.0,1.36,0.53,51.4,314.0,152.66,90.07,6.93,70.05,51.52,2,33.73,4
19.4,79.85,1.48,13230,14,15,2,3,0.83,0.65,0.95,28.27,118.98,105.77,178.06,7.32,36.47,55.98,2,31.61,5
51.38,51.74,2.93,23057,24,32,2,2,0.55,0.53,0.98,59.34,128.72,166.39,121.79,5.75,61.87,70.24,1,24.05,1
61.77,75.47,7.08,25192,26,37,9,6,5.71,1.98,0.94,73.7,307.58,108.44,92.68,8.3,55.27,68.23,2,44.08,3
55.52,69.3,7.75,25715,26,33,4,2,4.01,1.64,0.83,61.84,323.87,118.77,123.99,6.96,57.91,61.3,3,31.96,3
38.64,64.83,1.33,9464,10,23,2,2,0.93,1.14,0.29,32.78,86.77,135.52,130.22,8.21,22.6,50.11,2,25.65,5
75.21,63.58,5.26,34958,35,46,4,2,1.31,2.45,0.6,75.21,157.57,150.3,85.9,5.71,85.57,85.49,3,34.39,0
28.18,31.5,1.47,17181,18,21,5,2,1.44,0.92,0.88,63.4,150.42,220.56,165.61,6.65,46.29,64.73,2,38.48,1
37.74,59.03,2.32,25185,26,23,6,15,1.13,1.31,1.51,49.94,217.97,151.67,149.12,6.64,65.24,38.24,2,38.62,6
62.33,38.26,3.35,12316,13,41,5,16,1.5,1.78,0.94,41.71,203.43,197.25,119.88,7.25,28.37,22.08,1,23.36,6
69.71,62.51,4.04,34581,35,44,3,3,1.06,2.98,1.7,71.4,172.87,140.05,104.1,7.54,88.18,89.18,3,45.02,0
50.64,74.93,4.83,29303,30,32,5,8,5.53,1.39,1.21,57.1,308.25,121.35,133.41,7.93,72.67,63.55,2,35.46,3
93.44,83.79,5.54,22007,23,63,9,4,1.23,2.39,1.18,76.65,478.74,89.58,49.64,7.69,50.66,77.6,4,81.25,2
42.2,26.3,2.35,13592,14,26,8,8,0.5,1.12,0.86,39.46,70.03,234.72,128.32,6.01,32.5,57.18,3,27.12,1
74.83,72.12,7.39,23692,24,45,8,4,1.14,2.25,1.92,74.93,357.3,112.49,75.7,6.74,51.54,87.46,5,76.55,2
45.13,79.25,2.99,24616,25,30,3,2,1.26,2.41,4.07,36.3,262.65,103.57,137.36,8.55,61.99,56.81,2,33.83,4
52.17,41.02,1.58,22129,23,31,4,5,1.02,0.91,0.33,43.83,87.3,209.36,121.38,7.68,57.29,64.59,2,41.35,1
82.23,88.31,8.98,35689,36,52,7,7,1.24,1.78,2.43,77.64,312.6,70.11,74.56,6.44,78.33,77.71,7,85.31,2
74.49,62.55,5.74,27943,28,50,2,3,1.39,2.17,1.42,66.67,299.81,140.33,75.95,5.38,68.32,72.08,3,39.53,0
29.93,28.73,1.32,25653,26,18,7,5,0.81,0.56,1.17,54.59,174.38,235.32,159.06,8.96,70.13,58.3,3,20.59,1
65.84,57.38,3.68,28263,29,40,7,3,2.22,0.78,1.48,78.1,228.3,149.59,99.17,7.43,73.26,65.11,2,30.28,3
68.96,62.65,3.4,28956,29,45,3,1,1.06,2.26,0.72,72.03,148.17,144.79,99.22,6.46,76.79,87.49,2,44.55,0
85.5,73.9,6.18,24982,25,53,10,5,1.82,1.8,1.21,61.5,273.64,105.98,65.61,7.71,58.6,81.55,7,62.28,2
44.99,33.23,5.11,27134,28,29,3,24,0.3,1.92,0.41,66.58,247.94,209.09,137.9,7.93,65.41,48.49,3,29.26,6
31.12,64.58,2.14,12842,13,20,3,3,0.87,0.5,0.28,41.2,83.78,138.8,163.44,7.32,32.47,42.52,1,18.31,4
31.98,71.77,1.76,10577,11,21,1,5,1.17,1.68,0.38,16.54,47.05,126.88,152.6,6.58,26.77,48.64,2,26.81,5
62.96,58.48,4.91,18527,19,39,9,8,0.27,0.6,3.67,45.2,219.12,168.59,103.25,4.93,39.67,56.57,2,35.52,4
73.47,87.94,5.03,33089,34,45,9,2,1.71,3.08,2.76,91.46,195.55,81.3,90.83,8.1,85.43,77.62,3,33.23,7
71.25,58.62,5.72,36474,37,49,3,4,1.07,2.79,1.62,71.7,240.26,157.79,86.91,5.51,87.7,75.28,2,46.16,0
37.82,38.88,3.59,20751,21,24,6,17,0.58,1.21,1.69,66.45,249.51,203.3,139.19,6.39,48.24,40.11,1,34.67,6
33.47,52.47,3.42,13483,14,23,8,2,1.23,0.92,0.2,38.07,67.64,175.1,153.86,6.97,31.55,51.07,1,37.22,1
31.14,56.71,2.83,22175,23,20,7,16,0.39,0.63,1.3,47.72,148.73,160.44,149.32,8.39,57.22,24.63,1,30.75,6
65.03,70.88,4.84,16257,17,41,9,3,0.54,1.97,1.78,25.21,232.34,113.24,101.61,5.96,36.68,63.45,3,44.19,4
73.93,90.32,4.48,31444,32,45,20,3,1.49,2.14,1.76,81.66,274.38,77.07,82.2,7.77,80.04,83.9,2,45.3,7
23.93,75.79,1.22,10592,11,16,4,7,0.78,0.45,0.31,42.51,66.6,109.4,168.95,8.35,28.44,46.33,2,33.49,5
88.08,88.95,4.41,36876,37,55,17,3,1.78,1.44,1.71,93.08,205.3,73.72,72.91,7.52,93.98,83.76,3,41.69,7
27.27,64.61,2.04,9561,10,21,1,2,0.33,1.39,0.33,26.22,137.55,144.83,158.46,7.65,23.5,58.22,1,29.14,5
73.96,63.24,6.43,33259,34,46,2,2,1.33,2.81,1.79,69.42,296.42,146.46,89.75,7.53,79.99,81.92,2,32.71,0
87.88,62.38,5.96,31232,32,53,2,2,1.09,1.45,0.66,63.06,177.66,138.43,73.56,5.18,74.27,73.16,2,38.09,0
53.14,38.96,3.0,15849,16,32,1,18,1.72,0.82,1.46,54.13,204.39,201.16,132.61,7.5,37.37,29.99,1,43.75,6
26.85,51.92,5.3,21366,22,17,2,15,0.28,1.96,1.26,66.67,172.51,155.96,162.87,8.94,51.24,58.61,2,37.5,6
46.26,75.48,6.21,17194,18,30,6,4,0.8,1.55,4.34,28.23,189.71,106.41,136.44,5.35,34.09,68.74,2,39.57,4
74.88,84.0,7.32,30447,31,46,11,3,5.42,0.59,0.85,66.61,280.26,105.76,104.48,5.24,67.08,52.92,2,42.31,3
80.81,91.22,8.48,30269,31,49,11,3,1.17,2.97,1.07,61.32,497.17,67.91,90.28,6.94,68.27,83.76,4,78.05,2
41.66,70.05,3.27,19553,20,27,6,7,1.05,1.27,3.76,49.68,280.04,128.66,156.24,7.1,46.94,63.1,2,35.97,4
52.59,40.94,1.0,19333,20,33,8,3,1.62,1.32,0.71,44.75,60.45,191.46,114.5,6.27,53.61,59.02,1,30.41,1
60.83,30.86,5.0,20916,21,37,2,22,0.32,1.56,1.87,64.43,184.44,239.04,122.29,7.28,49.21,55.66,2,21.04,6
83.23,77.42,8.07,31462,32,56,8,6,1.26,2.42,1.75,75.87,393.98,98.12,80.85,7.57,71.59,84.74,5,52.65,2
62.08,45.95,5.06,24091,25,38,3,10,0.31,0.61,1.93,53.18,114.18,194.36,115.01,6.84,58.12,44.92,1,41.41,6
27.33,51.43,3.3,23160,24,18,3,7,0.37,1.55,0.31,55.82,158.29,175.24,159.63,7.3,60.24,64.01,2,21.56,1
81.66,81.61,7.2,34992,35,49,9,3,0.72,2.67,2.22,75.02,296.8,102.23,65.59,6.68,82.32,80.89,3,35.21,7
40.46,35.35,3.86,19548,20,30,5,10,0.75,1.97,0.49,41.15,90.0,213.23,139.86,6.23,46.71,41.02,1,21.61,6
76.03,83.81,9.65,28806,29,59,5,7,1.18,2.25,1.17,73.49,285.14,72.49,83.4,6.5,59.34,85.25,5,80.79,2
73.16,59.42,3.71,29196,30,52,2,4,0.72,2.99,1.86,69.7,153.93,155.4,83.39,7.21,75.51,77.97,3,33.74,0
65.16,51.14,2.58,16676,17,50,3,14,0.54,1.14,0.37,60.27,214.07,166.99,101.03,5.9,42.25,49.64,3,41.29,6
51.07,70.27,5.0,30702,31,36,11,5,2.39,1.65,1.55,49.52,246.76,122.34,120.14,7.64,75.06,65.91,2,45.95,3
63.22,53.32,3.21,17517,18,39,6,24,1.74,1.95,0.66,31.0,215.07,176.98,102.8,8.1,43.86,41.64,2,24.08,6
43.37,38.9,3.18,21142,22,43,5,12,0.23,1.36,1.97,45.39,228.84,188.75,137.71,7.13,55.7,37.48,2,25.37,6
84.04,63.69,4.83,28942,29,52,3,5,1.35,1.57,0.51,69.36,193.21,145.61,61.62,7.72,73.48,72.66,3,32.15,0
56.87,70.84,4.91,18848,19,36,6,3,0.55,1.02,3.14,26.81,264.91,122.62,115.87,7.8,42.12,45.84,2,28.19,4
47.26,62.86,2.78,14130,15,34,4,1,0.47,1.74,0.63,52.9,108.59,153.24,115.46,6.95,33.52,47.48,1,20.0,4
73.06,79.68,3.97,14553,15,45,10,6,3.19,1.3,1.9,51.07,206.57,97.47,92.21,7.22,33.64,64.15,2,45.63,4
53.0,35.59,3.25,16693,17,33,2,2,0.77,1.07,0.36,64.15,57.3,213.64,129.97,5.15,41.2,50.87,1,43.03,1
27.65,74.21,2.64,13859,14,20,2,5,0.27,1.74,0.82,16.43,101.32,117.21,155.62,6.97,35.63,42.14,2,22.06,4
77.89,81.86,6.62,28915,29,48,11,8,2.65,1.64,1.48,61.37,292.0,100.66,86.63,5.52,65.02,75.68,2,33.5,3
32.56,29.49,1.33,11634,12,20,5,8,0.58,0.6,0.58,58.79,100.34,221.08,155.39,8.73,33.16,70.74,2,28.45,5
52.26,44.36,1.53,23106,24,31,5,4,1.76,0.89,0.3,53.32,78.45,189.05,115.04,8.28,61.81,68.39,3,20.18,1
63.71,72.48,4.1,22043,23,41,9,7,0.37,2.06,3.33,35.94,264.93,128.38,110.86,7.99,53.8,71.3,2,25.39,4
55.97,67.84,5.45,29826,30,35,2,2,1.56,1.59,1.98,24.51,278.72,126.55,121.48,6.78,70.34,49.31,2,33.39,4
89.03,75.9,7.6,31604,32,54,10,3,1.44,2.2,1.53,71.1,408.12,97.36,71.17,7.72,71.93,87.83,8,59.03,2
52.14,87.55,5.38,20183,21,33,3,4,2.6,0.65,0.91,60.99,218.13,78.26,125.35,7.52,45.97,54.09,3,40.06,3
47.75,61.1,2.73,25599,26,29,4,23,1.22,0.53,0.63,64.68,219.81,146.37,117.83,5.97,67.02,31.66,2,24.18,6
80.51,85.89,9.94,28971,29,50,16,5,1.25,1.98,2.12,83.09,294.11,84.24,80.35,5.58,61.58,76.99,8,81.66,2
70.1,63.78,5.57,22059,23,44,10,7,5.05,0.88,1.2,66.08,343.9,141.63,88.85,5.82,52.21,66.47,3,30.92,3
65.91,72.51,5.07,24519,25,42,8,8,0.31,2.27,2.54,43.75,271.13,115.63,85.43,6.28,60.76,67.59,3,25.47,4
79.53,62.4,5.56,35925,36,48,3,2,1.47,2.71,1.84,74.34,170.45,149.63,68.93,6.57,88.61,77.66,2,40.9,0
58.01,82.98,6.11,23256,24,36,3,8,0.53,2.27,4.48,27.09,202.48,93.56,127.75,6.83,54.76,76.1,2,25.16,4
45.78,50.34,3.54,15397,16,28,8,5,0.43,1.49,0.99,43.84,170.83,175.65,125.51,8.98,35.89,71.37,1,39.84,1
80.35,60.2,5.75,33199,34,51,2,2,1.2,1.72,1.19,65.57,298.02,148.08,75.81,4.92,83.23,86.07,2,45.49,0
57.53,61.47,3.25,16156,17,38,8,5,1.35,1.46,4.06,43.1,244.56,153.66,102.28,7.49,35.22,51.96,3,39.97,4
71.39,93.58,6.85,38903,39,47,8,4,1.15,2.62,1.26,90.88,269.95,66.36,86.52,8.02,96.11,71.94,3,40.77,7
70.56,84.94,5.93,25715,26,44,11,8,3.96,1.94,0.53,71.77,200.17,106.89,84.77,5.66,58.85,56.95,3,31.55,3
64.63,73.25,7.69,20446,21,41,4,4,3.11,1.88,0.64,48.35,284.14,123.13,115.43,7.93,39.39,79.17,3,43.75,4
57.11,67.42,4.91,15224,16,36,3,6,1.5,2.35,4.19,47.44,277.1,129.65,127.16,5.02,29.51,46.33,3,39.01,4
43.33,59.59,1.4,14771,15,27,5,2,0.91,0.8,0.33,24.52,130.55,149.7,130.41,6.39,37.82,51.17,2,17.6,5
64.39,65.72,4.22,19157,20,39,7,3,1.38,2.17,2.43,48.17,188.15,145.52,98.86,7.65,44.99,45.79,2,41.14,4
35.63,34.12,2.25,15105,16,26,3,6,0.48,1.57,0.77,54.71,153.34,217.55,152.76,8.34,38.25,63.83,1,30.27,1
73.36,62.41,4.65,31138,32,47,3,3,1.43,1.94,0.85,65.29,180.3,135.59,83.77,5.81,76.24,85.84,3,30.71,0
36.08,20.63,3.41,26611,27,22,4,6,0.48,1.56,1.28,46.75,85.68,245.28,141.89,7.13,67.44,64.38,3,30.75,1
89.94,82.66,8.7,26549,27,55,6,3,1.15,2.67,2.38,76.4,405.26,80.4,57.48,8.48,53.56,87.72,8,94.46,2
57.98,71.18,4.05,23371,24,35,9,6,1.02,0.52,1.89,37.43,288.35,117.79,125.54,7.27,56.96,67.72,3,26.08,4
41.21,37.48,1.69,20802,21,27,4,8,0.38,0.74,1.38,59.76,116.99,201.41,138.16,8.42,55.16,49.1,3,20.03,1
32.83,53.11,3.94,13728,14,23,4,18,0.75,1.96,0.82,43.89,158.5,164.11,149.52,7.49,29.68,31.72,3,40.23,6
54.77,80.2,5.48,31620,32,34,4,6,5.83,1.54,0.94,57.01,336.74,84.04,109.29,6.92,77.45,51.56,3,30.04,3
51.14,76.61,5.12,14915,15,32,9,5,0.57,0.79,3.75,42.7,240.03,120.12,117.43,6.16,29.63,71.06,3,43.68,4
72.6,80.47,7.8,23133,24,47,7,8,5.0,0.65,1.43,65.08,318.21,101.65,100.95,6.51,48.61,77.5,3,40.73,3
60.32,75.93,7.68,29230,30,38,4,3,3.35,0.84,0.84,52.69,215.9,106.0,98.72,6.34,65.17,57.97,2,31.61,4
32.93,28.82,2.17,14395,15,21,5,6,1.65,0.52,1.42,39.93,82.85,228.68,147.83,7.94,33.69,52.87,1,20.63,4
31.34,30.03,1.89,21597,22,26,5,7,0.68,1.86,0.57,44.98,165.66,222.06,165.4,7.3,58.91,44.83,2,39.48,1
77.72,81.88,7.48,24223,25,52,15,5,1.45,2.18,1.17,84.02,443.85,89.72,76.63,5.0,48.74,86.23,6,66.56,2
51.88,46.03,3.46,27166,28,34,7,8,1.39,0.55,1.08,41.15,54.2,175.78,121.52,8.46,68.77,65.31,1,25.26,1
43.59,41.48,5.99,11999,12,28,2,24,1.6,0.71,0.6,37.63,134.32,194.39,121.04,7.34,20.33,45.15,2,24.01,6
66.62,61.86,4.86,34854,35,45,4,2,0.7,2.82,1.15,64.2,156.94,139.23,107.09,7.66,87.83,91.87,2,40.23,0
93.93,86.58,7.98,27210,28,57,8,5,1.44,2.49,1.29,72.39,335.09,73.63,63.41,6.92,60.12,80.68,5,61.96,2
55.64,34.49,3.63,12921,13,46,3,10,0.56,1.03,0.66,46.79,94.72,215.99,117.59,7.36,29.17,45.26,3,42.11,6
