productivity_score,focus_score,study_hours,xp,level,streak_days,completed_tasks,pending_tasks,coding_hours,reading_hours,revision_hours,quiz_score,productive_minutes,distraction_minutes,idle_minutes,sleep_hours,skill_progress,deadline_completion_rate,focus_sessions,average_session_minutes,recommendation
35.21,53.34,1.76,15537,16,38,10,24,0.34,1.28,0.2,46.37,82.44,186.86,127.35,8.1,41.86,31.69,2,34.04,1
69.34,53.99,5.71,25462,26,54,14,12,0.75,1.29,0.89,65.65,236.07,123.11,48.46,7.08,41.78,87.59,4,65.9,7
81.86,77.88,8.47,16321,17,54,15,16,3.58,2.67,1.08,86.56,370.63,98.36,51.42,5.92,33.48,74.12,8,47.67,2
41.05,49.85,5.44,10944,11,27,9,21,1.89,1.52,1.28,47.8,249.33,131.81,100.4,7.45,21.4,47.12,5,56.05,5
64.7,69.46,7.96,22758,23,51,14,12,1.4,2.15,1.52,77.56,337.88,106.98,20.42,5.97,44.14,75.36,5,60.74,2
41.41,34.03,2.86,18145,19,28,8,16,0.7,1.02,0.55,48.05,120.91,210.15,113.54,6.86,53.93,47.95,1,118.76,1
54.06,29.37,3.9,15665,16,27,8,13,1.92,0.45,0.65,47.84,185.81,228.17,123.34,5.14,40.33,51.47,4,44.25,1
59.06,51.84,6.86,30417,31,39,15,17,1.43,2.54,0.27,52.39,328.8,158.96,79.32,6.11,64.86,62.37,5,62.68,2
66.87,55.88,6.67,18763,19,51,13,9,1.98,1.74,1.43,70.31,294.05,115.4,85.73,6.55,36.71,78.69,4,76.49,2
66.25,59.82,5.37,28565,29,33,12,11,1.11,2.15,0.41,59.31,229.27,138.66,72.6,7.71,63.45,49.54,4,48.22,0
70.03,62.85,7.32,23549,24,48,12,10,0.68,1.71,0.82,61.36,329.43,134.01,87.25,6.91,52.12,80.23,3,101.22,2
62.71,56.49,8.84,30681,31,51,14,12,1.95,3.06,2.47,52.94,413.35,147.97,98.18,5.51,60.64,83.98,6,65.48,4
22.38,37.99,2.09,19173,20,18,0,27,0.82,0.0,0.85,27.54,102.88,242.6,121.61,6.82,51.39,43.48,2,51.19,1
28.16,38.69,2.4,18877,19,15,7,18,0.0,1.19,0.42,42.69,95.13,158.75,133.12,6.11,48.17,44.73,1,92.95,5
47.04,58.79,3.83,26449,27,30,9,13,1.2,1.0,0.81,48.45,204.99,167.64,98.85,8.42,69.98,55.99,2,103.21,7
26.43,46.51,2.3,29732,30,14,5,20,0.91,0.54,0.58,29.13,96.87,167.92,103.26,6.81,76.71,54.25,2,59.67,6
42.16,43.62,4.13,28512,29,22,7,15,1.79,0.57,0.41,28.08,180.66,215.97,80.04,6.55,57.36,53.38,3,62.19,6
47.33,55.4,5.3,16600,17,39,13,16,1.75,0.55,1.02,73.4,240.23,80.3,84.16,5.82,25.25,64.18,3,75.75,5
44.76,51.56,4.26,21335,22,24,5,19,1.54,0.24,1.27,57.52,175.79,127.1,96.75,5.16,46.01,59.7,2,81.97,2
44.69,54.93,3.34,13992,14,28,6,16,0.56,1.3,0.28,54.34,143.33,133.7,126.89,6.76,44.18,47.6,3,45.99,5
47.63,49.03,4.52,20369,21,43,11,13,0.89,1.83,0.72,33.81,233.06,148.23,80.6,5.55,47.27,74.48,3,69.99,4
71.53,61.33,6.29,25759,26,46,14,10,0.81,1.12,1.63,79.83,254.57,119.77,66.04,6.0,46.32,78.89,5,47.03,7
58.13,69.49,4.68,15833,16,39,12,19,0.54,1.78,1.39,62.33,229.92,113.82,100.6,5.06,40.93,56.98,4,55.89,5
62.33,72.08,7.49,24693,25,52,16,12,1.22,1.48,0.8,55.69,321.81,118.25,26.35,5.99,52.17,72.33,7,47.24,0
32.11,46.19,4.01,19780,20,34,0,21,1.5,1.55,0.45,35.99,185.86,136.44,134.84,4.8,35.29,33.24,3,51.86,5
72.99,66.43,6.1,24989,25,46,14,17,2.51,2.74,2.07,58.42,308.26,106.5,70.32,8.79,53.8,64.12,5,64.21,7
36.9,35.28,3.97,18652,19,19,5,26,1.66,1.38,0.49,33.45,162.19,168.21,123.03,8.21,44.96,35.17,3,52.47,6
24.34,42.38,3.34,30129,31,18,11,19,0.28,1.01,0.0,40.0,194.21,178.01,139.71,9.9,63.07,53.92,2,103.68,5
55.84,68.85,4.92,17498,18,38,10,13,1.7,2.29,1.47,48.29,215.52,141.39,93.63,7.56,33.62,59.75,5,39.02,5
62.3,65.93,4.69,32877,33,44,16,18,0.92,1.1,0.93,57.94,209.97,164.87,84.97,4.88,69.84,56.41,3,79.35,0
52.53,53.88,4.18,19105,20,37,12,19,0.43,0.39,0.99,60.96,217.0,152.57,104.0,5.63,42.84,71.71,4,58.9,5
52.17,65.92,6.05,17037,18,35,12,21,2.46,1.53,1.94,62.82,231.38,144.88,64.71,5.79,35.72,73.97,9,29.6,5
28.93,41.85,1.37,3693,4,22,5,21,0.35,0.33,0.42,33.9,77.39,176.59,139.46,7.0,17.61,38.73,3,24.96,5
73.68,48.3,7.1,27764,28,43,17,10,2.26,1.63,1.38,66.58,311.5,135.64,82.19,5.03,56.78,77.08,6,54.08,7
52.13,51.11,5.64,35302,36,40,6,14,2.11,1.66,0.94,54.34,222.87,140.81,116.34,7.64,66.28,55.22,4,49.26,7
43.34,64.1,3.82,30612,31,27,10,16,0.38,0.7,0.32,28.07,139.92,109.84,153.05,5.86,56.49,64.41,3,49.57,4
60.88,56.81,6.73,24492,25,35,10,14,1.18,1.12,1.58,54.98,324.68,140.13,108.7,7.39,51.1,45.21,6,59.62,2
40.22,54.51,2.62,26725,27,17,5,18,1.02,1.18,0.85,41.64,101.99,149.87,120.58,6.3,63.97,44.5,3,35.14,6
53.05,64.43,3.56,15483,16,25,8,18,0.79,0.17,0.8,42.3,149.97,129.43,117.19,8.69,35.62,60.13,3,51.81,5
35.24,38.32,3.3,28427,29,23,9,24,0.78,1.01,0.68,42.49,142.85,185.75,103.84,5.75,56.73,58.22,1,120.0,1
33.63,42.13,4.56,13015,14,19,6,17,1.92,1.59,1.29,49.49,229.48,159.21,138.91,7.17,30.65,50.83,6,30.57,4
59.82,55.06,3.93,24685,25,41,12,12,0.36,0.93,0.69,62.71,207.76,174.56,130.72,7.9,57.95,64.0,3,66.81,0
81.33,63.01,8.31,20887,21,59,16,9,2.49,2.21,1.39,72.76,375.01,135.09,90.12,6.39,32.92,86.57,7,51.83,2
57.24,56.32,5.3,16619,17,36,10,15,2.05,1.15,1.46,60.05,251.93,148.71,93.3,6.47,44.7,86.19,5,47.4,3
28.17,39.68,1.83,21932,22,21,10,16,0.46,0.17,0.0,32.02,98.03,161.98,104.94,6.07,49.67,40.62,1,97.37,5
26.23,53.8,1.9,16907,17,30,3,23,0.85,0.95,0.0,17.41,100.8,196.46,107.77,5.19,45.4,38.61,1,98.96,6
31.48,37.84,2.74,21968,22,15,0,22,1.41,0.86,0.0,40.22,129.05,174.96,123.2,8.97,43.29,49.4,1,120.0,6
34.74,53.25,2.5,11942,12,16,3,22,0.0,0.37,0.8,34.67,87.13,158.11,126.29,6.09,33.58,62.86,1,101.72,5
36.3,48.31,4.35,20135,21,21,6,24,0.89,0.79,1.38,44.48,180.39,202.55,107.51,7.63,36.42,39.91,3,61.47,6
34.34,56.74,3.36,15272,16,17,7,21,0.79,1.43,0.37,37.88,143.32,109.06,154.78,6.19,45.21,64.48,2,67.56,4
47.78,46.89,4.66,30029,31,30,6,18,1.9,0.44,1.51,42.92,206.99,161.54,116.44,8.74,72.11,59.62,5,40.6,1
54.95,53.74,5.45,29229,30,32,7,16,2.01,0.96,0.96,73.64,226.17,138.99,92.66,8.92,48.14,53.39,3,79.26,7
69.83,57.05,5.48,10017,11,44,17,16,2.19,2.01,1.64,56.78,277.97,69.92,84.37,7.45,27.35,80.49,5,51.43,5
35.85,42.29,2.89,9778,10,18,2,25,0.24,0.34,0.95,35.89,131.99,185.86,118.5,6.5,24.17,48.21,3,45.73,5
43.58,53.6,4.23,6311,7,24,11,15,1.44,1.15,0.81,34.79,201.13,213.76,91.13,7.34,13.65,58.88,4,51.04,5
60.45,71.89,7.09,33386,34,48,15,12,1.62,2.21,1.06,67.58,309.4,111.49,102.63,7.05,70.66,65.62,7,44.13,0
42.72,43.47,2.8,34531,35,24,5,15,1.33,1.08,0.5,40.42,127.67,181.38,83.35,8.74,81.73,38.31,3,45.23,0
61.11,72.43,6.65,16156,17,45,14,12,3.05,3.33,1.44,57.5,279.94,145.73,93.03,8.02,29.14,67.92,6,57.84,3
29.56,50.39,3.1,27781,28,24,1,20,0.46,0.54,0.49,24.48,133.92,187.55,136.22,6.12,57.19,23.53,2,63.29,6
44.79,45.9,5.23,22485,23,26,4,21,2.16,0.46,0.89,50.5,225.02,204.95,59.36,6.25,55.67,51.12,5,48.82,1
76.38,68.59,8.12,23761,24,47,16,18,1.35,2.16,1.14,71.2,363.55,120.57,37.46,5.78,39.38,74.33,7,49.31,0
40.98,41.18,2.7,19462,20,21,6,25,1.3,0.41,0.21,42.92,141.84,210.1,98.7,6.28,57.71,51.91,1,120.0,2
60.37,75.57,6.61,12093,13,40,11,15,2.51,1.67,1.02,54.81,264.65,101.94,88.58,6.75,21.05,59.77,5,49.03,3
78.01,57.75,7.4,21543,22,54,17,11,1.72,1.61,1.69,66.92,353.9,164.32,49.43,8.98,47.38,73.55,7,51.24,0
52.01,61.32,5.34,26609,27,39,10,15,1.78,0.73,1.3,50.58,218.75,115.54,55.6,7.52,51.47,70.6,4,57.34,3
31.71,33.54,3.47,34066,35,21,4,18,0.98,0.63,0.99,36.62,164.26,196.94,139.25,6.99,79.25,51.91,3,58.29,1
70.01,64.3,6.07,15686,16,42,10,16,1.2,1.52,1.62,67.82,257.86,145.5,52.85,5.78,37.72,73.36,4,61.28,4
69.6,68.84,6.37,42120,43,47,12,11,0.8,1.15,1.56,63.26,268.0,90.44,59.24,9.61,88.28,74.68,5,49.79,7
63.45,43.08,5.6,24316,25,38,11,17,1.2,1.06,2.17,71.82,271.14,124.92,115.43,6.08,53.04,68.88,5,40.79,7
65.36,59.14,5.93,34878,35,45,14,16,1.32,1.5,1.96,73.04,286.4,120.78,74.75,7.63,89.52,74.96,6,55.33,7
52.48,72.81,6.12,22240,23,56,11,15,0.79,2.17,1.86,59.32,310.54,108.82,62.3,7.66,50.53,69.0,7,43.96,4
45.69,40.29,3.2,17327,18,27,5,16,0.67,0.44,1.56,26.7,151.82,176.68,124.03,6.91,37.63,53.25,2,70.37,4
55.81,58.71,5.41,27359,28,41,5,16,2.87,1.87,0.72,67.95,240.22,103.01,71.53,6.5,58.01,71.54,4,58.29,7
55.93,40.83,5.89,33330,34,40,12,18,1.7,1.53,0.63,60.41,243.74,146.17,126.41,7.92,66.3,63.21,5,40.64,1
75.86,75.54,7.85,17218,18,56,14,12,3.46,2.97,2.26,91.71,373.59,47.15,55.01,7.85,15.16,67.84,7,49.64,7
86.6,76.97,9.3,13921,14,59,18,12,2.76,1.47,1.91,88.32,450.84,92.53,68.5,9.49,14.87,83.27,9,50.74,7
63.2,58.84,5.25,31530,32,42,10,17,2.34,1.27,1.53,68.87,209.85,147.29,89.9,8.31,67.35,58.13,4,53.87,7
24.62,48.46,2.57,12795,13,17,3,21,1.61,1.22,0.6,34.7,96.72,143.8,118.6,6.72,42.88,44.84,2,47.87,3
61.37,48.42,6.93,22824,23,48,9,13,2.97,2.56,1.21,53.54,279.81,155.91,109.87,7.64,44.99,68.39,6,38.77,3
56.18,54.29,4.74,9941,10,31,10,17,1.51,0.49,1.24,62.09,215.41,156.48,127.78,6.89,17.76,59.71,4,54.32,5
61.02,62.11,7.18,22719,23,35,11,12,3.02,1.54,1.73,76.45,368.87,129.82,74.77,5.76,51.31,63.66,5,72.92,0
46.04,67.79,4.61,25421,26,36,12,12,1.13,0.95,0.49,60.47,182.62,87.06,108.7,7.3,59.65,68.28,4,49.09,7
32.91,51.94,4.07,9500,10,16,6,24,0.49,1.29,0.0,30.71,164.55,166.85,126.22,7.77,37.15,51.34,5,41.7,6
33.14,33.77,2.26,11920,12,18,4,25,0.07,0.0,1.29,32.71,150.67,172.6,159.14,6.73,27.83,33.55,1,120.0,4
70.14,49.48,5.32,15331,16,40,13,17,1.94,1.06,1.29,56.18,205.95,183.11,82.12,7.5,32.86,74.61,6,31.01,1
20.74,28.3,1.91,19007,20,11,3,19,0.85,0.48,0.25,23.57,88.53,168.57,143.2,5.8,43.57,39.25,3,35.92,5
42.51,40.57,3.3,31847,32,33,11,21,0.84,1.72,0.66,40.34,127.77,216.89,112.51,5.78,74.24,52.25,3,42.89,1
59.3,55.16,6.54,28994,29,43,12,17,2.62,1.82,1.42,67.79,283.1,195.25,76.1,6.17,61.04,82.47,6,46.98,7
36.74,30.4,2.92,29063,30,22,7,18,0.86,1.37,0.64,19.65,108.3,192.75,149.45,5.36,69.03,48.56,1,115.56,2
76.55,55.13,5.93,28430,29,45,16,15,0.93,1.34,0.25,66.3,287.29,111.78,88.17,10.0,64.02,86.4,7,37.67,0
46.11,54.03,4.95,24756,25,29,9,20,1.15,1.65,1.82,45.32,208.84,163.94,102.91,5.95,48.32,37.2,3,63.54,6
43.7,38.76,4.89,26061,27,26,8,21,0.92,0.4,0.95,48.23,228.83,170.45,67.99,6.76,41.74,45.61,3,78.22,2
45.98,48.88,3.7,21536,22,22,4,20,1.27,0.6,0.72,40.23,159.77,184.69,128.87,7.2,68.0,48.49,3,54.64,6
41.3,54.33,3.43,16214,17,33,7,18,1.64,0.61,1.12,52.22,160.7,125.95,79.21,8.28,28.11,59.26,2,80.55,3
28.98,36.02,1.45,24971,25,13,3,23,0.65,0.29,0.19,28.83,60.54,197.68,141.55,6.44,58.27,26.99,2,28.75,1
37.52,48.53,2.37,19602,20,36,8,17,1.08,0.09,0.28,26.15,133.56,175.31,115.14,7.22,47.24,41.27,2,54.3,3
41.15,45.03,3.46,24163,25,36,9,23,1.26,1.26,0.0,31.49,155.83,145.95,132.29,8.23,52.39,42.46,3,51.76,6
28.68,39.2,0.5,20767,21,15,2,25,0.0,0.0,0.0,29.11,36.77,214.3,133.81,5.06,41.17,38.26,1,36.04,1
53.24,33.86,4.37,12998,13,33,11,14,1.78,0.62,0.42,38.04,196.33,167.81,66.57,7.83,35.87,68.13,5,38.69,3
57.74,59.06,4.54,32898,33,26,6,22,1.52,0.48,1.42,24.44,167.82,177.82,111.19,7.51,60.34,55.31,3,61.59,1
42.6,29.26,2.95,26931,27,40,5,17,1.7,0.78,0.67,33.95,117.3,252.34,77.63,5.97,59.83,56.86,3,37.5,1
33.36,45.5,1.36,14994,15,16,5,21,1.01,0.64,0.14,34.3,18.48,179.22,132.44,5.58,32.75,42.91,1,14.91,1
62.04,55.44,6.04,21820,22,38,14,8,0.62,2.57,0.79,55.7,254.24,137.48,64.87,8.05,51.88,60.65,4,61.96,0
47.75,50.45,5.24,24368,25,30,9,14,2.51,1.78,1.25,44.43,215.46,200.72,81.96,8.82,49.39,66.32,4,46.86,3
48.56,56.03,5.48,28416,29,43,11,16,2.71,1.65,1.16,45.78,240.18,104.06,101.0,6.23,59.53,53.72,5,42.73,3
60.62,78.77,5.55,28506,29,36,6,18,1.21,2.4,1.42,58.51,274.7,115.9,109.03,7.43,73.05,71.43,5,52.69,0
49.96,54.22,5.95,22794,23,33,10,16,2.42,2.32,1.25,38.96,261.23,172.78,103.95,5.94,56.77,51.12,4,64.29,3
48.95,51.64,4.79,9568,10,31,14,18,2.19,0.7,0.39,48.81,194.1,171.22,86.01,6.62,27.57,50.7,4,47.41,5
70.04,66.3,7.78,27040,28,50,16,8,3.94,0.9,1.11,71.42,356.24,104.54,46.49,7.76,55.87,69.45,6,57.25,0
58.95,56.25,8.1,29534,30,40,13,13,1.79,1.76,2.22,52.27,356.58,149.06,81.65,6.4,50.44,67.3,5,71.47,4
60.99,80.29,7.31,22451,23,48,17,15,0.96,0.71,1.53,62.49,370.39,37.08,94.78,6.92,33.39,81.62,6,66.42,7
55.81,66.17,3.44,31986,32,33,14,11,1.3,1.5,0.56,58.35,150.87,135.68,109.78,5.94,81.23,61.88,2,72.98,7
42.6,48.86,4.69,15771,16,26,9,25,2.17,1.01,1.42,42.63,202.15,132.84,118.8,7.2,43.09,49.48,3,70.63,3
33.63,32.53,1.85,24006,25,20,0,21,0.82,0.71,0.46,34.56,99.82,208.43,128.07,7.29,59.7,36.06,2,56.73,1
41.14,51.33,3.95,20146,21,28,7,15,1.99,0.39,1.26,48.32,143.13,135.46,120.08,6.13,52.84,65.57,4,31.9,1
52.68,56.59,4.9,26132,27,38,13,10,2.6,0.76,0.61,56.53,208.41,120.23,101.4,8.07,66.14,61.34,4,48.54,0
38.65,32.98,4.38,19544,20,42,9,16,2.04,1.27,1.12,32.47,146.87,187.05,137.27,5.81,47.66,33.3,5,27.82,1
22.6,24.08,1.45,24977,25,7,0,21,0.89,0.0,0.41,23.37,54.85,254.48,123.9,6.56,61.41,32.84,3,30.36,1
76.03,74.18,7.41,13815,14,66,12,13,2.94,2.26,1.5,61.85,314.11,149.38,88.96,8.11,17.14,75.96,7,43.35,4
56.27,61.82,6.09,20143,21,32,8,16,1.39,0.54,0.91,38.5,275.56,142.24,72.78,6.41,44.27,72.32,4,61.52,2
50.17,69.46,5.59,19997,20,37,15,17,1.27,0.59,0.32,57.53,233.2,124.92,79.37,5.3,36.36,59.65,5,56.38,5
68.33,53.38,7.3,27908,28,49,18,13,0.65,1.15,1.19,48.78,319.21,139.6,44.28,6.07,46.71,63.98,6,56.81,0
43.97,40.76,3.81,32388,33,24,9,17,1.55,0.39,0.92,47.46,163.07,92.76,119.28,5.64,67.88,70.06,4,49.98,7
28.56,39.96,2.64,23025,24,20,6,21,0.74,0.0,0.0,33.72,110.72,238.3,122.93,6.98,54.31,48.88,2,58.68,1
53.16,52.48,4.59,20136,21,26,10,13,1.93,2.04,1.0,36.88,192.65,162.74,76.62,9.61,46.31,56.49,3,70.03,3
60.95,54.95,5.34,37774,38,35,12,17,1.19,0.83,1.04,56.47,233.93,145.47,99.72,8.26,80.16,61.73,3,79.68,7
77.68,66.68,8.21,24350,25,62,20,8,3.59,1.26,1.53,77.29,344.31,124.02,42.95,5.4,56.79,82.9,9,40.96,0
87.76,70.78,7.72,26969,27,60,18,3,3.12,2.85,0.81,82.34,329.52,79.13,64.09,7.02,63.36,72.48,7,51.56,0
32.37,46.43,2.57,26593,27,25,5,17,1.18,0.55,0.22,41.48,145.76,161.35,155.87,5.89,65.71,48.19,2,78.71,2
45.53,59.81,3.1,15396,16,23,6,21,1.28,0.79,1.03,38.02,151.53,203.77,139.06,6.21,42.57,44.83,2,78.81,1
45.19,50.41,3.54,6962,7,34,7,13,0.93,1.86,1.01,31.67,176.19,156.23,91.89,8.14,13.4,60.36,3,61.33,5
47.56,44.53,5.12,30037,31,29,7,12,1.67,1.89,1.38,60.72,209.83,129.56,134.84,8.87,68.0,51.4,4,49.02,7
52.62,51.01,5.56,17903,18,31,9,15,1.29,0.71,1.53,53.89,290.65,116.99,134.74,7.82,50.55,63.54,5,50.15,4
36.54,40.07,2.86,17715,18,17,6,22,1.21,0.36,0.27,32.83,125.13,199.96,135.16,6.25,35.72,52.12,4,28.28,1
46.33,52.34,4.82,29445,30,28,10,10,1.94,1.37,1.31,38.55,237.79,148.82,116.89,8.49,65.95,50.02,2,117.06,2
74.73,70.8,7.94,13139,14,52,19,12,1.21,2.44,2.03,67.16,363.33,80.81,49.85,7.24,24.6,68.41,7,60.52,4
71.35,69.09,8.17,22830,23,56,21,6,2.9,2.3,2.26,75.65,398.3,115.2,57.66,6.25,46.01,82.82,8,48.23,7
75.96,56.79,6.04,21630,22,67,19,16,2.14,0.29,0.91,67.85,271.13,101.76,56.48,6.17,50.62,81.51,7,31.31,7
42.75,37.98,4.68,24845,25,26,5,21,1.35,0.92,1.61,44.49,243.84,140.33,143.29,6.61,48.52,65.63,4,68.47,2
55.64,41.8,4.74,30235,31,28,6,19,1.95,1.1,0.67,24.02,246.32,168.24,110.92,6.43,71.51,37.78,3,81.89,3
73.1,56.39,6.49,10711,11,45,13,12,1.95,1.25,0.89,64.72,286.23,185.2,85.25,5.52,23.51,79.77,4,69.5,2
37.92,49.92,3.42,16182,17,26,8,28,1.54,0.77,1.03,39.59,164.07,165.55,130.23,7.15,36.49,49.19,3,52.19,1
43.97,41.62,4.85,25019,26,36,8,21,2.0,0.96,0.47,43.24,219.26,111.91,129.26,7.35,48.5,54.12,4,50.29,1
26.9,35.66,1.23,22705,23,9,4,23,0.21,0.0,0.64,31.51,33.5,190.68,135.63,5.98,69.13,45.2,1,30.26,1
50.54,52.61,4.78,34396,35,32,12,11,0.5,1.08,0.52,57.2,178.38,146.71,129.33,8.03,77.54,56.34,2,88.38,0
37.28,36.42,2.96,26201,27,20,5,23,0.85,1.82,0.0,26.13,134.83,175.74,129.72,6.01,56.69,35.15,2,74.38,1
74.58,75.62,5.1,14154,15,48,19,10,0.94,0.11,0.77,71.86,211.68,61.59,54.51,6.58,38.1,72.55,4,43.95,5
53.28,52.77,5.07,27553,28,29,10,17,0.75,0.64,1.85,43.97,265.65,77.79,83.81,4.64,63.51,55.79,3,80.83,2
80.06,77.8,7.37,15560,16,54,15,12,2.99,2.75,1.15,70.14,280.06,115.97,49.24,10.0,27.64,85.93,6,44.24,4
47.63,58.1,4.83,18024,19,40,12,16,1.35,1.03,0.75,52.79,228.19,90.18,120.61,6.86,30.67,50.84,4,53.66,5
16.84,31.15,3.67,13590,14,24,1,21,0.2,1.18,0.58,26.22,172.31,196.44,123.96,5.55,37.9,31.7,4,41.74,1
56.2,64.7,4.51,26185,27,43,14,12,0.62,1.88,1.45,70.8,185.61,116.53,52.76,6.76,64.46,75.52,3,63.67,7
32.75,48.08,3.77,35457,36,18,3,21,1.83,1.05,1.4,37.07,204.07,173.81,143.08,8.21,67.51,36.18,5,40.83,6
74.62,61.06,7.04,18263,19,41,15,15,3.27,0.82,2.09,59.96,309.91,87.27,89.62,5.67,35.13,60.39,5,67.3,4
49.46,54.99,5.93,9198,10,31,10,15,1.02,1.58,1.23,55.39,289.45,114.9,80.2,7.31,17.57,60.03,5,59.85,4
34.5,50.67,3.73,15876,16,36,8,16,1.48,1.08,0.71,35.9,162.79,210.57,112.37,6.64,50.0,51.55,3,52.51,5
73.62,68.6,6.8,23947,24,45,11,9,1.51,2.09,1.47,75.49,309.96,104.16,77.88,7.02,53.41,69.79,6,54.94,7
41.05,33.82,4.4,31917,32,23,9,20,1.08,0.76,1.06,34.8,207.7,129.66,136.01,5.34,66.22,60.39,2,106.54,2
21.56,34.86,1.48,16547,17,16,6,24,0.04,0.1,0.0,13.7,107.15,162.84,126.6,8.69,47.12,41.0,2,40.56,6
27.65,43.22,2.02,25833,26,15,7,22,0.65,0.81,0.61,34.97,85.72,166.21,81.57,6.18,63.56,41.68,3,24.31,1
54.06,29.49,4.32,17147,18,39,4,19,1.03,0.22,0.45,36.81,182.45,197.27,133.04,7.76,36.83,40.06,3,60.47,4
45.88,39.35,2.59,15926,16,22,7,14,0.64,0.83,1.01,26.74,91.77,190.16,113.12,7.92,45.7,44.48,3,26.64,1
44.67,57.2,4.77,15217,16,29,10,13,1.34,1.56,0.76,44.74,205.66,181.36,127.87,8.95,49.16,56.94,2,101.47,3
57.18,56.68,7.33,22953,23,41,12,15,1.79,1.42,0.86,50.29,341.19,172.95,77.73,8.25,54.96,61.75,6,56.01,0
44.72,51.56,3.77,29035,30,32,5,18,0.62,1.11,0.47,27.69,164.01,136.49,99.11,5.22,57.49,54.62,2,86.91,2
72.05,89.56,8.87,33009,34,64,13,14,3.82,2.3,1.98,78.06,419.16,79.12,37.3,6.4,74.61,95.07,10,42.64,0
71.02,48.13,6.45,15039,16,44,16,13,2.41,1.19,2.09,51.99,290.28,142.23,83.83,5.31,27.83,83.9,5,54.15,4
24.04,37.76,1.45,28264,29,14,1,20,0.04,0.73,0.55,25.77,70.1,212.2,97.2,4.66,67.42,32.47,1,73.96,1
